Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1757321543,"2025-09-08 08:52:23",B5288,8L9518,3579,0,180,90.893676757812,29.293996810913
1757321544,"2025-09-08 08:52:24",B5288,8L9518,3579,0,180,90.893684387207,29.294002532959
1757321565,"2025-09-08 08:52:45",B5288,8L9518,3579,0,180,90.893699645996,29.294008255005
1757321682,"2025-09-08 08:54:42",B5288,8L9518,3579,3.6,180,90.893692016602,29.294136047363
1757321687,"2025-09-08 08:54:47",B5288,8L9518,3579,3.6,177,90.893692016602,29.294195175171
1757321690,"2025-09-08 08:54:50",B5288,8L9518,3579,3.6,180,90.893692016602,29.294275283813
1757321694,"2025-09-08 08:54:54",B5288,8L9518,3579,3.6,180,90.893692016602,29.294357299805
1757321699,"2025-09-08 08:54:59",B5288,8L9518,3579,3.6,180,90.893692016602,29.294427871704
1757321706,"2025-09-08 08:55:06",B5288,8L9518,3579,3.6,177,90.893692016602,29.294532775879
1757321715,"2025-09-08 08:55:15",B5288,8L9518,3579,3.6,177,90.893684387207,29.294631958008
1757321720,"2025-09-08 08:55:20",B5288,8L9518,3579,3.6,180,90.893684387207,29.29471206665
1757321724,"2025-09-08 08:55:24",B5288,8L9518,3579,3.6,180,90.893684387207,29.294803619385
1757321729,"2025-09-08 08:55:29",B5288,8L9518,3579,3.6,182,90.893692016602,29.294868469238
1757321736,"2025-09-08 08:55:36",B5288,8L9518,3579,3.6,196,90.893692016602,29.294961929321
1757321750,"2025-09-08 08:55:50",B5288,8L9518,3579,3.6,230,90.893692016602,29.294984817505
1757321758,"2025-09-08 08:55:58",B5288,8L9518,3579,3.6,244,90.893814086914,29.295183181763
1757321762,"2025-09-08 08:56:02",B5288,8L9518,3579,3.6,255,90.89387512207,29.295219421387
1757321770,"2025-09-08 08:56:10",B5288,8L9518,3579,0,267,90.893981933594,29.29524230957
1757321962,"2025-09-08 08:59:22",B5288,8L9518,3579,0,267,90.893981933594,29.29524230957
1757321967,"2025-09-08 08:59:27",B5288,8L9518,3579,3.6,270,90.893981933594,29.29524230957
1757321973,"2025-09-08 08:59:33",B5288,8L9518,3579,7.2,270,90.893981933594,29.29524230957
1757321978,"2025-09-08 08:59:38",B5288,8L9518,3579,10.8,270,90.89347076416,29.29524230957
1757321987,"2025-09-08 08:59:47",B5288,8L9518,3579,10.8,270,90.893203735352,29.295238494873
1757321990,"2025-09-08 08:59:50",B5288,8L9518,3579,14.4,270,90.893035888672,29.295227050781
1757321995,"2025-09-08 08:59:55",B5288,8L9518,3579,14.4,270,90.892807006836,29.295227050781
1757322000,"2025-09-08 09:00:00",B5288,8L9518,3579,18,270,90.892547607422,29.295230865479
1757322005,"2025-09-08 09:00:05",B5288,8L9518,3579,14.4,272,90.892295837402,29.295227050781
1757322010,"2025-09-08 09:00:10",B5288,8L9518,3579,14.4,300,90.892097473145,29.295295715332
1757322015,"2025-09-08 09:00:15",B5288,8L9518,3579,14.4,334,90.891990661621,29.29545211792
1757322020,"2025-09-08 09:00:20",B5288,8L9518,3579,14.4,354,90.891967773438,29.295650482178
1757322029,"2025-09-08 09:00:29",B5288,8L9518,3579,14.4,357,90.891952514648,29.295959472656
1757322033,"2025-09-08 09:00:33",B5288,8L9518,3579,14.4,0,90.891952514648,29.2961769104
1757322038,"2025-09-08 09:00:38",B5288,8L9518,3579,14.4,0,90.891952514648,29.296382904053
1757322043,"2025-09-08 09:00:43",B5288,8L9518,3579,18,0,90.891937255859,29.296615600586
1757322048,"2025-09-08 09:00:48",B5288,8L9518,3579,25.2,0,90.891937255859,29.296943664551
1757322053,"2025-09-08 09:00:53",B5288,8L9518,3579,28.8,0,90.891929626465,29.297355651855
1757322058,"2025-09-08 09:00:58",B5288,8L9518,3579,32.4,0,90.891929626465,29.297756195068
1757322063,"2025-09-08 09:01:03",B5288,8L9518,3579,32.4,0,90.891914367676,29.298139572144
1757322068,"2025-09-08 09:01:08",B5288,8L9518,3579,32.4,0,90.891914367676,29.298559188843
1757322073,"2025-09-08 09:01:13",B5288,8L9518,3579,28.8,0,90.891899108887,29.299015045166
1757322078,"2025-09-08 09:01:18",B5288,8L9518,3579,18,0,90.891883850098,29.299266815186
1757322083,"2025-09-08 09:01:23",B5288,8L9518,3579,14.4,8,90.891899108887,29.299467086792
1757322088,"2025-09-08 09:01:28",B5288,8L9518,3579,14.4,39,90.892021179199,29.299629211426
1757322093,"2025-09-08 09:01:33",B5288,8L9518,3579,16.668,73,90.892250061035,29.299734115601
1757322098,"2025-09-08 09:01:38",B5288,8L9518,3579,14.4,87,90.892471313477,29.299747467041
1757322103,"2025-09-08 09:01:43",B5288,8L9518,3579,18,90,90.892784118652,29.299757003784
1757322108,"2025-09-08 09:01:48",B5288,8L9518,3579,21.6,90,90.893058776855,29.299758911133
1757322113,"2025-09-08 09:01:53",B5288,8L9518,3579,25.2,90,90.893447875977,29.299758911133
1757322118,"2025-09-08 09:01:58",B5288,8L9518,3579,28.8,90,90.893852233887,29.299770355225
1757322123,"2025-09-08 09:02:03",B5288,8L9518,3579,28.8,90,90.894287109375,29.299781799316
1757322128,"2025-09-08 09:02:08",B5288,8L9518,3579,32.4,90,90.894729614258,29.299779891968
1757322133,"2025-09-08 09:02:13",B5288,8L9518,3579,37.04,90,90.89525604248,29.299793243408
1757322138,"2025-09-08 09:02:18",B5288,8L9518,3579,36,90,90.895782470703,29.2998046875
1757322143,"2025-09-08 09:02:23",B5288,8L9518,3579,39.6,90,90.896369934082,29.299816131592
1757322148,"2025-09-08 09:02:28",B5288,8L9518,3579,39.6,90,90.896987915039,29.299816131592
1757322153,"2025-09-08 09:02:33",B5288,8L9518,3579,39.6,90,90.897567749023,29.299827575684
1757322158,"2025-09-08 09:02:38",B5288,8L9518,3579,43.2,90,90.898147583008,29.299839019775
1757322163,"2025-09-08 09:02:43",B5288,8L9518,3579,43.2,90,90.89884185791,29.299850463867
1757322168,"2025-09-08 09:02:48",B5288,8L9518,3579,43.2,90,90.899467468262,29.299861907959
1757322173,"2025-09-08 09:02:53",B5288,8L9518,3579,43.2,90,90.900047302246,29.299861907959
1757322178,"2025-09-08 09:02:58",B5288,8L9518,3579,43.2,90,90.900695800781,29.299873352051
1757322183,"2025-09-08 09:03:03",B5288,8L9518,3579,46.8,90,90.901397705078,29.299884796143
1757322188,"2025-09-08 09:03:08",B5288,8L9518,3579,46.8,90,90.902084350586,29.299896240234
1757322193,"2025-09-08 09:03:13",B5288,8L9518,3579,46.8,90,90.902740478516,29.299907684326
1757322198,"2025-09-08 09:03:18",B5288,8L9518,3579,46.8,90,90.903533935547,29.299919128418
1757322203,"2025-09-08 09:03:23",B5288,8L9518,3579,46.8,90,90.904151916504,29.299921035767
1757322208,"2025-09-08 09:03:28",B5288,8L9518,3579,50.4,90,90.90486907959,29.299942016602
1757322213,"2025-09-08 09:03:33",B5288,8L9518,3579,50.4,90,90.905609130859,29.299953460693
1757322218,"2025-09-08 09:03:38",B5288,8L9518,3579,43.2,90,90.906280517578,29.299955368042
1757322223,"2025-09-08 09:03:43",B5288,8L9518,3579,43.2,90,90.906929016113,29.299964904785
1757322228,"2025-09-08 09:03:48",B5288,8L9518,3579,43.2,90,90.907554626465,29.299978256226
1757322233,"2025-09-08 09:03:53",B5288,8L9518,3579,43.2,90,90.908134460449,29.299989700317
1757322238,"2025-09-08 09:03:58",B5288,8L9518,3579,43.2,90,90.90877532959,29.299999237061
1757322243,"2025-09-08 09:04:03",B5288,8L9518,3579,43.2,90,90.909439086914,29.300001144409
1757322248,"2025-09-08 09:04:08",B5288,8L9518,3579,46.8,90,90.910171508789,29.300010681152
1757322253,"2025-09-08 09:04:13",B5288,8L9518,3579,46.8,90,90.910774230957,29.300025939941
1757322258,"2025-09-08 09:04:18",B5288,8L9518,3579,46.8,90,90.911544799805,29.300037384033
1757322263,"2025-09-08 09:04:23",B5288,8L9518,3579,46.8,90,90.912162780762,29.300048828125
1757322268,"2025-09-08 09:04:28",B5288,8L9518,3579,36,90,90.912780761719,29.300048828125
1757322273,"2025-09-08 09:04:33",B5288,8L9518,3579,36,90,90.913291931152,29.30005645752
1757322278,"2025-09-08 09:04:38",B5288,8L9518,3579,39.6,90,90.913833618164,29.300071716309
1757322283,"2025-09-08 09:04:43",B5288,8L9518,3579,39.6,90,90.914428710938,29.300079345703
1757322288,"2025-09-08 09:04:48",B5288,8L9518,3579,42.596,90,90.915023803711,29.300090789795
1757322293,"2025-09-08 09:04:53",B5288,8L9518,3579,39.6,90,90.915634155273,29.300094604492
1757322298,"2025-09-08 09:04:58",B5288,8L9518,3579,43.2,90,90.916313171387,29.300102233887
1757322303,"2025-09-08 09:05:03",B5288,8L9518,3579,43.2,90,90.916893005371,29.300113677979
1757322308,"2025-09-08 09:05:08",B5288,8L9518,3579,43.2,90,90.917518615723,29.30012512207
1757322313,"2025-09-08 09:05:13",B5288,8L9518,3579,43.2,90,90.918182373047,29.300128936768
1757322318,"2025-09-08 09:05:18",B5288,8L9518,3579,46.8,90,90.918807983398,29.300148010254
1757322323,"2025-09-08 09:05:23",B5288,8L9518,3579,46.8,90,90.919540405273,29.3001537323
1757322328,"2025-09-08 09:05:28",B5288,8L9518,3579,46.8,90,90.92015838623,29.300165176392
1757322333,"2025-09-08 09:05:33",B5288,8L9518,3579,46.8,90,90.920936584473,29.300176620483
1757322338,"2025-09-08 09:05:38",B5288,8L9518,3579,46.8,90,90.921615600586,29.300188064575
1757322343,"2025-09-08 09:05:43",B5288,8L9518,3579,50.4,90,90.922271728516,29.300193786621
1757322348,"2025-09-08 09:05:48",B5288,8L9518,3579,50.4,90,90.923011779785,29.300199508667
1757322353,"2025-09-08 09:05:53",B5288,8L9518,3579,43.2,90,90.923629760742,29.300210952759
1757322358,"2025-09-08 09:05:58",B5288,8L9518,3579,36,90,90.924171447754,29.300216674805
1757322363,"2025-09-08 09:06:03",B5288,8L9518,3579,36,90,90.924736022949,29.300233840942
1757322368,"2025-09-08 09:06:08",B5288,8L9518,3579,39.6,90,90.925239562988,29.300239562988
1757322373,"2025-09-08 09:06:13",B5288,8L9518,3579,39.6,90,90.925811767578,29.300233840942
1757322378,"2025-09-08 09:06:18",B5288,8L9518,3579,39.6,90,90.926406860352,29.300245285034
1757322383,"2025-09-08 09:06:23",B5288,8L9518,3579,39.6,90,90.92700958252,29.300258636475
1757322388,"2025-09-08 09:06:28",B5288,8L9518,3579,39.6,90,90.927551269531,29.300258636475
1757322393,"2025-09-08 09:06:33",B5288,8L9518,3579,28.8,90,90.92805480957,29.300262451172
1757322398,"2025-09-08 09:06:38",B5288,8L9518,3579,14.4,90,90.92830657959,29.300273895264
1757322403,"2025-09-08 09:06:43",B5288,8L9518,3579,7.2,90,90.928466796875,29.300273895264
1757322413,"2025-09-08 09:06:53",B5288,8L9518,3579,0,90,90.928504943848,29.300273895264
1757322550,"2025-09-08 09:09:10",B5288,8L9518,3579,0,90,90.928527832031,29.300273895264
1757322555,"2025-09-08 09:09:15",B5288,8L9518,3579,0,87,90.928527832031,29.300273895264
1757322560,"2025-09-08 09:09:20",B5288,8L9518,3579,7.2,84,90.928672790527,29.300285339355
1757322565,"2025-09-08 09:09:25",B5288,8L9518,3579,7.2,61,90.928787231445,29.300338745117
1757322570,"2025-09-08 09:09:30",B5288,8L9518,3579,10.8,30,90.928894042969,29.300477981567
1757322575,"2025-09-08 09:09:35",B5288,8L9518,3579,14.4,5,90.928939819336,29.300676345825
1757322580,"2025-09-08 09:09:40",B5288,8L9518,3579,18.52,0,90.928939819336,29.300868988037
1757322585,"2025-09-08 09:09:45",B5288,8L9518,3579,18,0,90.928924560547,29.301107406616
1757322590,"2025-09-08 09:09:50",B5288,8L9518,3579,18,0,90.928924560547,29.301361083984
1757322595,"2025-09-08 09:09:55",B5288,8L9518,3579,18,0,90.928924560547,29.301584243774
1757322600,"2025-09-08 09:10:00",B5288,8L9518,3579,14.4,354,90.928909301758,29.301761627197
1757322615,"2025-09-08 09:10:15",B5288,8L9518,3579,3.6,267,90.928619384766,29.301830291748
1757322629,"2025-09-08 09:10:29",B5288,8L9518,3579,7.2,267,90.928489685059,29.301828384399
1757322640,"2025-09-08 09:10:40",B5288,8L9518,3579,36,270,90.927841186523,29.301818847656
1757322660,"2025-09-08 09:11:00",B5288,8L9518,3482.34,208.8,269,90.918891906738,29.301681518555
1757322674,"2025-09-08 09:11:14",B5288,8L9518,3474.72,320.4,269,90.906913757324,29.301515579224
1757322689,"2025-09-08 09:11:29",B5288,8L9518,3604.26,349.2,268,90.891792297363,29.301315307617
1757322704,"2025-09-08 09:11:44",B5288,8L9518,3787.14,360,268,90.876686096191,29.30094909668
1757322719,"2025-09-08 09:11:59",B5288,8L9518,3985.26,367.2,264,90.860206604004,29.300354003906
