Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1741083859,"2025-03-04 10:24:19",B326Q,9C6998,0,5.5559998,140,135.23208618164,34.440250396729
1741083904,"2025-03-04 10:25:04",B326Q,9C6998,0,5.5559998,180,135.23161315918,34.440685272217
1741083928,"2025-03-04 10:25:28",B326Q,9C6998,0,5.5559998,227,135.23156738281,34.440971374512
1741083934,"2025-03-04 10:25:34",B326Q,9C6998,0,5.5559998,233,135.23159790039,34.441009521484
1741083943,"2025-03-04 10:25:43",B326Q,9C6998,0,5.5559998,90,135.23170471191,34.441078186035
1741083952,"2025-03-04 10:25:52",B326Q,9C6998,0,0,233,135.23176574707,34.441131591797
1741083978,"2025-03-04 10:26:18",B326Q,9C6998,0,0,233,135.22999572754,34.439998626709
1741084035,"2025-03-04 10:27:15",B326Q,9C6998,0,0,233,135.22999572754,34.439998626709
1741084378,"2025-03-04 10:32:58",B326Q,9C6998,0,33.336,141.08987,135.22947692871,34.43240737915
1741084387,"2025-03-04 10:33:07",B326Q,9C6998,0,37.04,141.14474,135.2299041748,34.431976318359
1741084411,"2025-03-04 10:33:31",B326Q,9C6998,0,44.448,143.88403,135.23182678223,34.43000793457
1741084450,"2025-03-04 10:34:10",B326Q,9C6998,0,18.52,146.34988,135.23454284668,34.427242279053
1741084474,"2025-03-04 10:34:34",B326Q,9C6998,0,20.372,141.35768,135.23539733887,34.426368713379
1741084486,"2025-03-04 10:34:46",B326Q,9C6998,0,24.076,141.21117,135.23593139648,34.425811767578
1741084492,"2025-03-04 10:34:52",B326Q,9C6998,0,25.928,139.88586,135.23631286621,34.425437927246
1741084498,"2025-03-04 10:34:58",B326Q,9C6998,0,20.372,142.12672,135.23651123047,34.425228118896
1741084522,"2025-03-04 10:35:22",B326Q,9C6998,0,18.52,231.00394,135.23612976074,34.424331665039
1741084528,"2025-03-04 10:35:28",B326Q,9C6998,0,20.372,229.73473,135.23587036133,34.42414855957
1741084534,"2025-03-04 10:35:34",B326Q,9C6998,0,22.224,230.82617,135.2356262207,34.423984527588
1741084549,"2025-03-04 10:35:49",B326Q,9C6998,0,25.928,230.43547,135.23472595215,34.423393249512
1741084579,"2025-03-04 10:36:19",B326Q,9C6998,0,29.632,230,135.22999572754,34.419998168945
1741084585,"2025-03-04 10:36:25",B326Q,9C6998,0,33.336,231.55324,135.23226928711,34.421745300293
1741084594,"2025-03-04 10:36:34",B326Q,9C6998,0,29.632,230.71753,135.23150634766,34.421226501465
1741084603,"2025-03-04 10:36:43",B326Q,9C6998,0,20.372,232.0561,135.23098754883,34.420886993408
1741084615,"2025-03-04 10:36:55",B326Q,9C6998,0,12.964,223.96504,135.2306060791,34.420612335205
1741084621,"2025-03-04 10:37:01",B326Q,9C6998,0,7.408,236.04092,135.23040771484,34.420501708984
1741084627,"2025-03-04 10:37:07",B326Q,9C6998,0,7.408,224.52455,135.2303314209,34.420440673828
1741084636,"2025-03-04 10:37:16",B326Q,9C6998,0,9.26,238.77911,135.23014831543,34.42032623291
1741084645,"2025-03-04 10:37:25",B326Q,9C6998,0,3.704,219.51956,135.23007202148,34.420269012451
1741084666,"2025-03-04 10:37:46",B326Q,9C6998,0,3.704,235.17946,135.22996520996,34.4202003479
1741084675,"2025-03-04 10:37:55",B326Q,9C6998,0,7.408,227.72351,135.22984313965,34.420120239258
1741084693,"2025-03-04 10:38:13",B326Q,9C6998,0,11.112,227.56831,135.22944641113,34.419853210449
1741084702,"2025-03-04 10:38:22",B326Q,9C6998,0,9.26,232.32898,135.22918701172,34.419673919678
1741084762,"2025-03-04 10:39:22",B326Q,9C6998,0,0,230,135.22999572754,34.419998168945
1741084810,"2025-03-04 10:40:10",B326Q,9C6998,0,5.5559998,230.40788,135.22900390625,34.419548034668
1741084819,"2025-03-04 10:40:19",B326Q,9C6998,0,9.26,234.70647,135.22882080078,34.41943359375
1741084825,"2025-03-04 10:40:25",B326Q,9C6998,0,11.112,226.159,135.22868347168,34.419338226318
1741084837,"2025-03-04 10:40:37",B326Q,9C6998,0,12.964,222.67513,135.22834777832,34.419101715088
1741084843,"2025-03-04 10:40:43",B326Q,9C6998,0,12.964,225.9644,135.22817993164,34.418968200684
1741084849,"2025-03-04 10:40:49",B326Q,9C6998,0,11.112,180,135.22813415527,34.418792724609
1741084858,"2025-03-04 10:40:58",B326Q,9C6998,0,14.816,137.36827,135.22834777832,34.418560028076
1741084867,"2025-03-04 10:41:07",B326Q,9C6998,0,5.5559998,137.74109,135.22856140137,34.418369293213
1741084940,"2025-03-04 10:42:20",B326Q,9C6998,0,0,140,135.22999572754,34.419998168945
1741084972,"2025-03-04 10:42:52",B326Q,9C6998,0,5.5559998,141.55078,135.22863769531,34.41828918457
1741084981,"2025-03-04 10:43:01",B326Q,9C6998,0,9.26,150.92902,135.22875976562,34.418151855469
1741084990,"2025-03-04 10:43:10",B326Q,9C6998,0,9.26,143.49818,135.22894287109,34.41796875
1741084996,"2025-03-04 10:43:16",B326Q,9C6998,0,9.26,139.40442,135.22904968262,34.417865753174
1741085002,"2025-03-04 10:43:22",B326Q,9C6998,0,7.408,140.47975,135.22912597656,34.417774200439
1741085008,"2025-03-04 10:43:28",B326Q,9C6998,0,9.26,142.52588,135.2292175293,34.417675018311
1741085014,"2025-03-04 10:43:34",B326Q,9C6998,0,11.112,126.267494,135.2293548584,34.417568206787
1741085026,"2025-03-04 10:43:46",B326Q,9C6998,0,11.112,47.72446,135.22969055176,34.417617797852
1741085032,"2025-03-04 10:43:52",B326Q,9C6998,0,3.704,30.78564,135.22978210449,34.417743682861
1741085050,"2025-03-04 10:44:10",B326Q,9C6998,0,11.112,56.18187,135.22985839844,34.417785644531
