Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1757458266,"2025-09-09 22:51:06",B1481,9H8403,662.94,309.284,47,108.77821350098,34.440898895264
1757458282,"2025-09-09 22:51:22",B1481,9H8403,883.92,300.024,48,108.78829956055,34.448318481445
1757458297,"2025-09-09 22:51:37",B1481,9H8403,1036.32,318.544,49,108.79917907715,34.456188201904
1757458311,"2025-09-09 22:51:51",B1481,9H8403,1196.34,335.212,49,108.8108291626,34.464668273926
1757458322,"2025-09-09 22:52:02",B1481,9H8403,1310.64,337.064,48,108.81857299805,34.470291137695
1757458336,"2025-09-09 22:52:16",B1481,9H8403,1501.14,338.916,49,108.83068084717,34.478870391846
1757458347,"2025-09-09 22:52:27",B1481,9H8403,1577.34,361.14,49,108.83955383301,34.485198974609
1757458362,"2025-09-09 22:52:42",B1481,9H8403,1668.78,400.032,48,108.85304260254,34.495059967041
1757458377,"2025-09-09 22:52:57",B1481,9H8403,1767.84,431.516,48,108.86679077148,34.504890441895
1757458392,"2025-09-09 22:53:12",B1481,9H8403,1866.9,463,48,108.8825302124,34.51639175415
1757458406,"2025-09-09 22:53:26",B1481,9H8403,2026.92,477.816,48,108.89894104004,34.528350830078
1757458417,"2025-09-09 22:53:37",B1481,9H8403,2164.08,481.52,48,108.90910339355,34.535709381104
1757458431,"2025-09-09 22:53:51",B1481,9H8403,2308.86,483.372,49,108.92188262939,34.544910430908
1757458447,"2025-09-09 22:54:07",B1481,9H8403,2529.84,488.928,51,108.9398727417,34.557220458984
1757458461,"2025-09-09 22:54:21",B1481,9H8403,2766.06,485.224,51,108.95886993408,34.569721221924
1757458477,"2025-09-09 22:54:37",B1481,9H8403,2987.04,487.076,53,108.97663879395,34.581531524658
1757458491,"2025-09-09 22:54:51",B1481,9H8403,3124.2,490.78,74,108.99710083008,34.588581085205
1757458507,"2025-09-09 22:55:07",B1481,9H8403,3299.46,503.744,103,109.02214050293,34.586730957031
1757458521,"2025-09-09 22:55:21",B1481,9H8403,3413.76,509.3,105,109.03858184814,34.583038330078
1757458532,"2025-09-09 22:55:32",B1481,9H8403,3543.3,513.004,105,109.05248260498,34.579929351807
1757458546,"2025-09-09 22:55:46",B1481,9H8403,3764.28,513.004,105,109.07653045654,34.574478149414
1757458557,"2025-09-09 22:55:57",B1481,9H8403,3886.2,516.708,105,109.09143829346,34.571044921875
1757458572,"2025-09-09 22:56:12",B1481,9H8403,3992.88,548.192,105,109.11632537842,34.565502166748
1757458587,"2025-09-09 22:56:27",B1481,9H8403,4175.76,561.156,104,109.14277648926,34.559688568115
1757458601,"2025-09-09 22:56:41",B1481,9H8403,4351.02,574.12,104,109.1672668457,34.554290771484
1757458612,"2025-09-09 22:56:52",B1481,9H8403,4488.18,574.12,108,109.18453216553,34.550281524658
1757458626,"2025-09-09 22:57:06",B1481,9H8403,4701.54,575.972,124,109.20758056641,34.539733886719
1757458637,"2025-09-09 22:57:17",B1481,9H8403,4838.7,579.676,124,109.22138214111,34.531936645508
1757458651,"2025-09-09 22:57:31",B1481,9H8403,5044.44,583.38,125,109.24312591553,34.519367218018
1757458666,"2025-09-09 22:57:46",B1481,9H8403,5234.94,590.788,125,109.26519775391,34.506454467773
1757458681,"2025-09-09 22:58:01",B1481,9H8403,5318.76,613.012,123,109.28787231445,34.493812561035
1757458697,"2025-09-09 22:58:17",B1481,9H8403,5448.3,625.976,123,109.31115722656,34.481189727783
1757458711,"2025-09-09 22:58:31",B1481,9H8403,5539.74,648.2,123,109.33605194092,34.467700958252
1757458726,"2025-09-09 22:58:46",B1481,9H8403,5646.42,666.72,122,109.36106109619,34.454288482666
1757458741,"2025-09-09 22:59:01",B1481,9H8403,5753.1,683.388,122,109.38629150391,34.440929412842
1757458756,"2025-09-09 22:59:16",B1481,9H8403,5859.78,701.908,122,109.413230896,34.426898956299
1757458772,"2025-09-09 22:59:32",B1481,9H8403,5996.94,709.316,122,109.44019317627,34.412998199463
1757458787,"2025-09-09 22:59:47",B1481,9H8403,6096,725.984,122,109.46822357178,34.398193359375
1757458801,"2025-09-09 23:00:01",B1481,9H8403,6217.92,735.244,122,109.49696350098,34.383159637451
1757458816,"2025-09-09 23:00:16",B1481,9H8403,6370.32,731.54,130,109.52377319336,34.367477416992
1757458831,"2025-09-09 23:00:31",B1481,9H8403,6499.86,720.428,147,109.54279327393,34.348518371582
1757458847,"2025-09-09 23:00:47",B1481,9H8403,6568.44,733.392,152,109.55892181396,34.324489593506
1757458861,"2025-09-09 23:01:01",B1481,9H8403,6621.78,751.912,151,109.57454681396,34.300247192383
1757458876,"2025-09-09 23:01:16",B1481,9H8403,6667.5,774.136,152,109.59182739258,34.27320098877
1757458887,"2025-09-09 23:01:27",B1481,9H8403,6697.98,788.952,153,109.60314178467,34.255138397217
1757458901,"2025-09-09 23:01:41",B1481,9H8403,6804.66,796.36,152,109.61923217773,34.229419708252
1757458915,"2025-09-09 23:01:55",B1481,9H8403,6964.68,794.508,152,109.63652038574,34.201648712158
1757458926,"2025-09-09 23:02:06",B1481,9H8403,7086.6,790.804,152,109.64720153809,34.184921264648
1757458940,"2025-09-09 23:02:20",B1481,9H8403,7223.76,794.508,152,109.66461181641,34.157516479492
1757458956,"2025-09-09 23:02:36",B1481,9H8403,7360.92,794.508,152,109.6806640625,34.132232666016
1757458970,"2025-09-09 23:02:50",B1481,9H8403,7475.22,800.064,153,109.69716644287,34.105800628662
1757458985,"2025-09-09 23:03:05",B1481,9H8403,7589.52,801.916,152,109.71367645264,34.079040527344
1757458996,"2025-09-09 23:03:16",B1481,9H8403,7665.72,805.62,153,109.72434997559,34.061435699463
1757459011,"2025-09-09 23:03:31",B1481,9H8403,7719.06,816.732,153,109.74131011963,34.033447265625
1757459025,"2025-09-09 23:03:45",B1481,9H8403,7772.4,829.696,153,109.75756835938,34.006622314453
1757459036,"2025-09-09 23:03:56",B1481,9H8403,7795.26,840.808,153,109.76905822754,33.987670898438
1757459050,"2025-09-09 23:04:10",B1481,9H8403,7802.88,848.216,153,109.78677368164,33.958786010742
1757459065,"2025-09-09 23:04:25",B1481,9H8403,7802.88,848.216,153,109.79932403564,33.938415527344
1757459078,"2025-09-09 23:04:38",B1481,9H8403,7802.88,846.364,153,109.81401062012,33.914283752441
1757459093,"2025-09-09 23:04:53",B1481,9H8403,7802.88,846.364,153,109.83358764648,33.882160186768
1757459108,"2025-09-09 23:05:08",B1481,9H8403,7810.5,842.66,159,109.85023498535,33.852878570557
1757459123,"2025-09-09 23:05:23",B1481,9H8403,7917.18,818.584,176,109.85717010498,33.822830200195
1757459137,"2025-09-09 23:05:37",B1481,9H8403,8023.86,807.472,182,109.85652923584,33.791339874268
