Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718101674,"2024-06-11 10:27:54",B1083,CA1829,259.08,331.508,14,113.31369781494,23.406789779663
1718101685,"2024-06-11 10:28:05",B1083,CA1829,396.24,335.212,14,113.31594085693,23.41522026062
1718101699,"2024-06-11 10:28:19",B1083,CA1829,586.74,342.62,15,113.31922912598,23.426969528198
1718101714,"2024-06-11 10:28:34",B1083,CA1829,762,357.436,16,113.32331085205,23.439889907837
1718101731,"2024-06-11 10:28:51",B1083,CA1829,929.64,370.4,16,113.32752990723,23.452779769897
1718101744,"2024-06-11 10:29:04",B1083,CA1829,967.74,425.96,16,113.33226776123,23.467449188232
1718101759,"2024-06-11 10:29:19",B1083,CA1829,982.98,438.924,22,113.33615875244,23.478469848633
1718101773,"2024-06-11 10:29:33",B1083,CA1829,982.98,438.924,54,113.34745025635,23.492109298706
1718101788,"2024-06-11 10:29:48",B1083,CA1829,982.98,431.516,85,113.36308288574,23.497699737549
1718101803,"2024-06-11 10:30:03",B1083,CA1829,1066.8,425.96,103,113.38085174561,23.496049880981
1718101814,"2024-06-11 10:30:14",B1083,CA1829,1219.2,422.256,104,113.39163970947,23.493669509888
1718101829,"2024-06-11 10:30:29",B1083,CA1829,1402.08,446.332,104,113.40892028809,23.489700317383
1718101844,"2024-06-11 10:30:44",B1083,CA1829,1478.28,496.336,105,113.42784118652,23.485189437866
1718101858,"2024-06-11 10:30:58",B1083,CA1829,1600.2,527.82,105,113.44792938232,23.480199813843
1718101873,"2024-06-11 10:31:13",B1083,CA1829,1836.42,531.524,105,113.46887969971,23.474990844727
1718101884,"2024-06-11 10:31:24",B1083,CA1829,1988.82,538.932,105,113.48271942139,23.471590042114
1718101898,"2024-06-11 10:31:38",B1083,CA1829,2209.8,544.488,105,113.50434875488,23.466064453125
1718101913,"2024-06-11 10:31:53",B1083,CA1829,2423.16,557.452,105,113.52548980713,23.460699081421
1718101928,"2024-06-11 10:32:08",B1083,CA1829,2621.28,564.86,105,113.54814910889,23.455032348633
1718101943,"2024-06-11 10:32:23",B1083,CA1829,2842.26,570.416,105,113.57051849365,23.449489593506
1718101958,"2024-06-11 10:32:38",B1083,CA1829,3048,577.824,105,113.59304046631,23.44384765625
1718101973,"2024-06-11 10:32:53",B1083,CA1829,3162.3,600.048,105,113.61637878418,23.43803024292
1718101988,"2024-06-11 10:33:08",B1083,CA1829,3238.5,640.792,105,113.64002990723,23.432119369507
1718102003,"2024-06-11 10:33:23",B1083,CA1829,3276.6,679.684,105,113.66639709473,23.425415039062
1718102018,"2024-06-11 10:33:38",B1083,CA1829,3291.84,703.76,105,113.6940612793,23.418369293213
1718102033,"2024-06-11 10:33:53",B1083,CA1829,3291.84,705.612,106,113.72142791748,23.411361694336
1718102049,"2024-06-11 10:34:09",B1083,CA1829,3291.84,705.612,106,113.75034332275,23.403900146484
1718102063,"2024-06-11 10:34:23",B1083,CA1829,3291.84,707.464,106,113.77631378174,23.397169113159
1718102079,"2024-06-11 10:34:39",B1083,CA1829,3291.84,701.908,105,113.80487823486,23.389755249023
1718102093,"2024-06-11 10:34:53",B1083,CA1829,3291.84,698.204,105,113.83184051514,23.38290977478
1718102107,"2024-06-11 10:35:07",B1083,CA1829,3291.84,696.352,104,113.85925292969,23.376070022583
1718102137,"2024-06-11 10:35:37",B1083,CA1829,3406.14,705.612,86,113.91815185547,23.373830795288
1718102151,"2024-06-11 10:35:51",B1083,CA1829,3482.34,709.316,86,113.94647979736,23.375600814819
1718102173,"2024-06-11 10:36:13",B1083,CA1829,3581.4,718.576,86,113.98748016357,23.377979278564
1718102207,"2024-06-11 10:36:47",B1083,CA1829,3749.04,722.28,87,114.04447937012,23.381059646606
1718102241,"2024-06-11 10:37:21",B1083,CA1829,3893.82,729.688,87,114.1167678833,23.384960174561
1718102255,"2024-06-11 10:37:35",B1083,CA1829,3901.44,729.688,86,114.14861297607,23.386730194092
1718102270,"2024-06-11 10:37:50",B1083,CA1829,3901.44,731.54,87,114.17877197266,23.388359069824
1718102284,"2024-06-11 10:38:04",B1083,CA1829,3901.44,729.688,86,114.20227050781,23.389570236206
1718102299,"2024-06-11 10:38:19",B1083,CA1829,3901.44,727.836,86,114.23187255859,23.391149520874
1718102317,"2024-06-11 10:38:37",B1083,CA1829,3901.44,729.688,87,114.26195526123,23.392730712891
1718102329,"2024-06-11 10:38:49",B1083,CA1829,3901.44,729.688,81,114.29122924805,23.395669937134
1718102344,"2024-06-11 10:39:04",B1083,CA1829,3901.44,729.688,77,114.32048034668,23.401069641113
1718102366,"2024-06-11 10:39:26",B1083,CA1829,3901.44,731.54,77,114.36289215088,23.409999847412
1718102398,"2024-06-11 10:39:58",B1083,CA1829,4038.6,729.688,77,114.41876220703,23.421890258789
1718102412,"2024-06-11 10:40:12",B1083,CA1829,4168.14,737.096,77,114.44203186035,23.426879882812
1718102425,"2024-06-11 10:40:25",B1083,CA1829,4320.54,748.208,76,114.4709777832,23.433090209961
1718102440,"2024-06-11 10:40:40",B1083,CA1829,4427.22,751.912,77,114.4953918457,23.438310623169
1718102452,"2024-06-11 10:40:52",B1083,CA1829,4488.18,761.172,77,114.51609039307,23.442640304565
1718102467,"2024-06-11 10:41:07",B1083,CA1829,4511.04,764.876,77,114.54936218262,23.449670791626
1718102486,"2024-06-11 10:41:26",B1083,CA1829,4511.04,763.024,77,114.58889770508,23.458009719849
1718102500,"2024-06-11 10:41:40",B1083,CA1829,4511.04,763.024,77,114.62233734131,23.465070724487
1718102514,"2024-06-11 10:41:54",B1083,CA1829,4511.04,759.32,77,114.64894866943,23.470710754395
1718102528,"2024-06-11 10:42:08",B1083,CA1829,4511.04,761.172,77,114.67855072021,23.476989746094
1718102543,"2024-06-11 10:42:23",B1083,CA1829,4579.62,763.024,77,114.7093963623,23.483549118042
1718102554,"2024-06-11 10:42:34",B1083,CA1829,4671.06,766.728,77,114.72899627686,23.487649917603
1718102573,"2024-06-11 10:42:53",B1083,CA1829,4945.38,770.432,77,114.77017211914,23.496280670166
1718102588,"2024-06-11 10:43:08",B1083,CA1829,5234.94,746.356,71,114.80104064941,23.503229141235
1718102612,"2024-06-11 10:43:32",B1083,CA1829,5547.36,737.096,67,114.84139251709,23.516830444336
1718102631,"2024-06-11 10:43:51",B1083,CA1829,5867.4,727.836,68,114.88124084473,23.532299041748
1718102646,"2024-06-11 10:44:06",B1083,CA1829,6096,713.02,68,114.9088973999,23.542600631714
1718102661,"2024-06-11 10:44:21",B1083,CA1829,6248.4,716.724,68,114.93560028076,23.552450180054
1718102673,"2024-06-11 10:44:33",B1083,CA1829,6355.08,718.576,68,114.95513153076,23.559669494629
1718102703,"2024-06-11 10:45:03",B1083,CA1829,6614.16,729.688,59,115.01421356201,23.587690353394
1718102722,"2024-06-11 10:45:22",B1083,CA1829,6751.32,735.244,58,115.03861999512,23.601470947266
1718102739,"2024-06-11 10:45:39",B1083,CA1829,6880.86,744.504,58,115.06685638428,23.617300033569
1718102756,"2024-06-11 10:45:56",B1083,CA1829,7010.4,746.356,59,115.09391021729,23.63237953186
1718102771,"2024-06-11 10:46:11",B1083,CA1829,7139.94,751.912,59,115.11972808838,23.646789550781
1718102785,"2024-06-11 10:46:25",B1083,CA1829,7277.1,753.764,59,115.14739990234,23.662309646606
1718102798,"2024-06-11 10:46:38",B1083,CA1829,7383.78,755.616,59,115.17294311523,23.676609039307
