Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1734695564,"2024-12-20 11:52:44",B1801,CZ8888,0,190.756,358,121.33278656006,31.191930770874
1734695579,"2024-12-20 11:52:59",B1801,CZ8888,0,301.876,358,121.33215332031,31.20424079895
1734695594,"2024-12-20 11:53:14",B1801,CZ8888,167.64,290.764,358,121.33152008057,31.215419769287
1734695609,"2024-12-20 11:53:29",B1801,CZ8888,358.14,285.208,345,121.32978057861,31.225891113281
1734695624,"2024-12-20 11:53:44",B1801,CZ8888,525.78,292.616,323,121.323097229,31.234771728516
1734695639,"2024-12-20 11:53:59",B1801,CZ8888,640.08,314.84,324,121.31477355957,31.244190216064
1734695654,"2024-12-20 11:54:14",B1801,CZ8888,822.96,318.544,325,121.30661773682,31.254140853882
1734695669,"2024-12-20 11:54:29",B1801,CZ8888,982.98,325.952,324,121.2986831665,31.263740539551
1734695684,"2024-12-20 11:54:44",B1801,CZ8888,1074.42,361.14,324,121.28948974609,31.2744140625
1734695699,"2024-12-20 11:54:59",B1801,CZ8888,1173.48,407.44,323,121.27953338623,31.285903930664
1734695714,"2024-12-20 11:55:14",B1801,CZ8888,1303.02,446.332,323,121.26854705811,31.298538208008
1734695729,"2024-12-20 11:55:29",B1801,CZ8888,1501.14,464.852,323,121.2562713623,31.312664031982
1734695745,"2024-12-20 11:55:45",B1801,CZ8888,1638.3,474.112,323,121.24371337891,31.3271484375
1734695759,"2024-12-20 11:55:59",B1801,CZ8888,1699.26,470.408,323,121.23138427734,31.341293334961
1734695774,"2024-12-20 11:56:14",B1801,CZ8888,1706.88,468.556,324,121.21900177002,31.355484008789
1734695789,"2024-12-20 11:56:29",B1801,CZ8888,1706.88,470.408,323,121.20683288574,31.369499206543
1734695804,"2024-12-20 11:56:44",B1801,CZ8888,1714.5,472.26,323,121.19452667236,31.383703231812
1734695815,"2024-12-20 11:56:55",B1801,CZ8888,1706.88,472.26,323,121.18644714355,31.393014907837
1734695829,"2024-12-20 11:57:09",B1801,CZ8888,1706.88,468.556,314,121.1724395752,31.406610488892
1734695844,"2024-12-20 11:57:24",B1801,CZ8888,1706.88,472.26,312,121.15755462646,31.418197631836
1734695859,"2024-12-20 11:57:39",B1801,CZ8888,1714.5,468.556,312,121.14217376709,31.43016242981
1734695875,"2024-12-20 11:57:55",B1801,CZ8888,1844.04,477.816,313,121.12669372559,31.442367553711
1734695889,"2024-12-20 11:58:09",B1801,CZ8888,2080.26,492.632,330,121.11399841309,31.456604003906
1734695904,"2024-12-20 11:58:24",B1801,CZ8888,2339.34,488.928,335,121.10487365723,31.473129272461
1734695919,"2024-12-20 11:58:39",B1801,CZ8888,2598.42,488.928,336,121.0959777832,31.489839553833
1734695934,"2024-12-20 11:58:54",B1801,CZ8888,2827.02,494.484,335,121.08710479736,31.506408691406
1734695945,"2024-12-20 11:59:05",B1801,CZ8888,2926.08,511.152,336,121.08097839355,31.517913818359
1734695959,"2024-12-20 11:59:19",B1801,CZ8888,3131.82,516.708,335,121.07122039795,31.536071777344
1734695974,"2024-12-20 11:59:34",B1801,CZ8888,3268.98,544.488,335,121.06175231934,31.553804397583
1734695985,"2024-12-20 11:59:45",B1801,CZ8888,3329.94,568.564,335,121.0546875,31.566970825195
1734695999,"2024-12-20 11:59:59",B1801,CZ8888,3482.34,585.232,336,121.04402160645,31.587066650391
1734696014,"2024-12-20 12:00:14",B1801,CZ8888,3680.46,592.64,336,121.03368377686,31.606384277344
1734696029,"2024-12-20 12:00:29",B1801,CZ8888,3893.82,592.64,336,121.02285766602,31.626850128174
1734696044,"2024-12-20 12:00:44",B1801,CZ8888,4091.94,598.196,335,121.01181793213,31.647510528564
1734696059,"2024-12-20 12:00:59",B1801,CZ8888,4267.2,607.456,335,121.00072479248,31.668319702148
1734696074,"2024-12-20 12:01:14",B1801,CZ8888,4419.6,620.42,336,120.98968505859,31.688993453979
1734696085,"2024-12-20 12:01:25",B1801,CZ8888,4511.04,627.828,336,120.98204803467,31.703283309937
1734696099,"2024-12-20 12:01:39",B1801,CZ8888,4678.68,638.94,336,120.97041320801,31.725080490112
1734696114,"2024-12-20 12:01:54",B1801,CZ8888,4853.94,642.644,336,120.95883178711,31.746870040894
1734696129,"2024-12-20 12:02:09",B1801,CZ8888,5067.3,640.792,336,120.94738769531,31.76845741272
1734696144,"2024-12-20 12:02:24",B1801,CZ8888,5303.52,631.532,336,120.93559265137,31.790710449219
1734696159,"2024-12-20 12:02:39",B1801,CZ8888,5471.16,635.236,336,120.92388153076,31.8125
1734696174,"2024-12-20 12:02:54",B1801,CZ8888,5562.6,653.756,336,120.91217803955,31.83430480957
1734696185,"2024-12-20 12:03:05",B1801,CZ8888,5608.32,666.72,335,120.90397644043,31.849409103394
1734696199,"2024-12-20 12:03:19",B1801,CZ8888,5669.28,688.944,335,120.89169311523,31.87220954895
1734696214,"2024-12-20 12:03:34",B1801,CZ8888,5753.1,703.76,336,120.87850189209,31.896739959717
1734696225,"2024-12-20 12:03:45",B1801,CZ8888,5844.54,707.464,336,120.87020874023,31.912309646606
1734696239,"2024-12-20 12:03:59",B1801,CZ8888,5981.7,711.168,336,120.85690307617,31.937160491943
1734696254,"2024-12-20 12:04:14",B1801,CZ8888,6096,720.428,335,120.84406280518,31.961149215698
1734696269,"2024-12-20 12:04:29",B1801,CZ8888,6225.54,727.836,336,120.83076477051,31.986099243164
1734696284,"2024-12-20 12:04:44",B1801,CZ8888,6355.08,729.688,336,120.81743621826,32.010948181152
1734696299,"2024-12-20 12:04:59",B1801,CZ8888,6469.38,737.096,336,120.80370330811,32.036548614502
1734696310,"2024-12-20 12:05:10",B1801,CZ8888,6545.58,740.8,335,120.79462432861,32.053298950195
1734696324,"2024-12-20 12:05:24",B1801,CZ8888,6705.6,740.8,335,120.78117370605,32.078308105469
1734696339,"2024-12-20 12:05:39",B1801,CZ8888,6858,737.096,336,120.76753997803,32.103561401367
1734696354,"2024-12-20 12:05:54",B1801,CZ8888,7002.78,735.244,336,120.75398254395,32.128772735596
1734696369,"2024-12-20 12:06:09",B1801,CZ8888,7132.32,725.984,332,120.73969268799,32.153442382812
1734696384,"2024-12-20 12:06:24",B1801,CZ8888,7277.1,707.464,324,120.72277069092,32.175430297852
1734696399,"2024-12-20 12:06:39",B1801,CZ8888,7406.64,700.056,319,120.70280456543,32.19548034668
