Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1748509126,"2025-05-29 08:58:46",B20D8,FM823,7.62,237.056,358,121.33267974854,31.193660736084
1748509141,"2025-05-29 08:59:01",B20D8,FM823,7.62,309.284,357,121.33219909668,31.202320098877
1748509156,"2025-05-29 08:59:16",B20D8,FM823,144.78,325.952,357,121.33135986328,31.214904785156
1748509171,"2025-05-29 08:59:31",B20D8,FM823,327.66,327.804,352,121.33014678955,31.227449417114
1748509186,"2025-05-29 08:59:46",B20D8,FM823,502.92,338.916,316,121.32411193848,31.238319396973
1748509201,"2025-05-29 09:00:01",B20D8,FM823,685.8,340.768,294,121.31153106689,31.244745254517
1748509216,"2025-05-29 09:00:16",B20D8,FM823,906.78,337.064,294,121.29790496826,31.250005722046
1748509231,"2025-05-29 09:00:31",B20D8,FM823,1089.66,355.584,295,121.28405761719,31.255449295044
1748509246,"2025-05-29 09:00:46",B20D8,FM823,1196.34,390.772,295,121.26928710938,31.261320114136
1748509261,"2025-05-29 09:01:01",B20D8,FM823,1295.4,435.22,295,121.25308227539,31.267929077148
1748509276,"2025-05-29 09:01:16",B20D8,FM823,1432.56,457.444,278,121.2342376709,31.273330688477
1748509291,"2025-05-29 09:01:31",B20D8,FM823,1493.52,451.888,257,121.2151184082,31.272159576416
1748509306,"2025-05-29 09:01:46",B20D8,FM823,1493.52,472.26,235,121.19658660889,31.264530181885
1748509321,"2025-05-29 09:02:01",B20D8,FM823,1493.52,479.668,234,121.1802444458,31.254009246826
1748509336,"2025-05-29 09:02:16",B20D8,FM823,1501.14,483.372,234,121.16287994385,31.243099212646
1748509351,"2025-05-29 09:02:31",B20D8,FM823,1638.3,496.336,234,121.14563751221,31.232360839844
1748509366,"2025-05-29 09:02:46",B20D8,FM823,1828.8,513.004,218,121.12889862061,31.219802856445
1748509381,"2025-05-29 09:03:01",B20D8,FM823,2065.02,514.856,192,121.1199798584,31.202381134033
1748509396,"2025-05-29 09:03:16",B20D8,FM823,2301.24,516.708,176,121.11952972412,31.183227539062
1748509411,"2025-05-29 09:03:31",B20D8,FM823,2545.08,524.116,177,121.12077331543,31.163410186768
1748509426,"2025-05-29 09:03:46",B20D8,FM823,2773.68,533.376,177,121.12190246582,31.14368057251
1748509441,"2025-05-29 09:04:01",B20D8,FM823,2987.04,544.488,177,121.12308502197,31.123306274414
1748509456,"2025-05-29 09:04:16",B20D8,FM823,3169.92,559.304,176,121.1241607666,31.102714538574
1748509471,"2025-05-29 09:04:31",B20D8,FM823,3329.94,575.972,158,121.12964630127,31.081949234009
1748509486,"2025-05-29 09:04:46",B20D8,FM823,3505.2,587.084,142,121.14266967773,31.062870025635
1748509501,"2025-05-29 09:05:01",B20D8,FM823,3703.32,590.788,126,121.16112518311,31.047967910767
1748509516,"2025-05-29 09:05:16",B20D8,FM823,3886.2,605.604,126,121.18194580078,31.034912109375
1748509531,"2025-05-29 09:05:31",B20D8,FM823,3970.02,638.94,126,121.20429992676,31.020782470703
1748509546,"2025-05-29 09:05:46",B20D8,FM823,4038.6,672.276,125,121.22714996338,31.006540298462
1748509561,"2025-05-29 09:06:01",B20D8,FM823,4114.8,698.204,125,121.24813842773,30.993459701538
1748509576,"2025-05-29 09:06:16",B20D8,FM823,4198.62,725.984,126,121.27317810059,30.977830886841
1748509591,"2025-05-29 09:06:31",B20D8,FM823,4290.06,751.912,126,121.299659729,30.961059570312
1748509606,"2025-05-29 09:06:46",B20D8,FM823,4381.5,775.988,125,121.32638549805,30.944229125977
1748509621,"2025-05-29 09:07:01",B20D8,FM823,4465.32,792.656,117,121.35552978516,30.929214477539
1748509636,"2025-05-29 09:07:16",B20D8,FM823,4594.86,803.768,110,121.38745117188,30.91729927063
1748509651,"2025-05-29 09:07:31",B20D8,FM823,4724.4,814.88,104,121.42144012451,30.908615112305
1748509666,"2025-05-29 09:07:46",B20D8,FM823,4785.36,824.14,104,121.45583343506,30.901189804077
1748509681,"2025-05-29 09:08:01",B20D8,FM823,4785.36,822.288,104,121.49104309082,30.893461227417
1748509696,"2025-05-29 09:08:16",B20D8,FM823,4777.74,822.288,104,121.52532196045,30.885967254639
1748509712,"2025-05-29 09:08:32",B20D8,FM823,4777.74,816.732,104,121.55968475342,30.878448486328
1748509726,"2025-05-29 09:08:46",B20D8,FM823,4777.74,814.88,102,121.59673309326,30.870559692383
1748509741,"2025-05-29 09:09:01",B20D8,FM823,4777.74,809.324,95,121.63104248047,30.866230010986
1748509752,"2025-05-29 09:09:12",B20D8,FM823,4785.36,807.472,91,121.65306854248,30.865310668945
1748509766,"2025-05-29 09:09:26",B20D8,FM823,4777.74,800.064,83,121.68775939941,30.866834640503
1748509781,"2025-05-29 09:09:41",B20D8,FM823,4785.36,796.36,78,121.72197723389,30.871950149536
1748509796,"2025-05-29 09:09:56",B20D8,FM823,4777.74,794.508,78,121.7566986084,30.878429412842
1748509811,"2025-05-29 09:10:11",B20D8,FM823,4777.74,794.508,78,121.78942871094,30.88444519043
1748509826,"2025-05-29 09:10:26",B20D8,FM823,4785.36,794.508,77,121.82349395752,30.890714645386
1748509837,"2025-05-29 09:10:37",B20D8,FM823,4785.36,794.508,77,121.84580993652,30.8948802948
1748509851,"2025-05-29 09:10:51",B20D8,FM823,4785.36,794.508,77,121.88034820557,30.901239395142
1748509866,"2025-05-29 09:11:06",B20D8,FM823,4785.36,792.656,78,121.91667938232,30.90784072876
1748509881,"2025-05-29 09:11:21",B20D8,FM823,4823.46,798.212,77,121.9506072998,30.914060592651
1748509896,"2025-05-29 09:11:36",B20D8,FM823,4991.1,801.916,78,121.98432159424,30.920240402222
1748509912,"2025-05-29 09:11:52",B20D8,FM823,5166.36,807.472,78,122.01770782471,30.926330566406
1748509926,"2025-05-29 09:12:06",B20D8,FM823,5341.62,813.028,78,122.05529785156,30.933170318604
1748509941,"2025-05-29 09:12:21",B20D8,FM823,5478.78,822.288,77,122.08963775635,30.939455032349
1748509956,"2025-05-29 09:12:36",B20D8,FM823,5585.46,837.104,77,122.12506866455,30.946020126343
1748509971,"2025-05-29 09:12:51",B20D8,FM823,5745.48,842.66,78,122.16137695312,30.952629089355
1748509986,"2025-05-29 09:13:06",B20D8,FM823,5890.26,853.772,78,122.19751739502,30.959100723267
1748510001,"2025-05-29 09:13:21",B20D8,FM823,5989.32,855.624,78,122.23499298096,30.965850830078
1748510016,"2025-05-29 09:13:36",B20D8,FM823,6004.56,853.772,78,122.27126312256,30.972379684448
1748510031,"2025-05-29 09:13:51",B20D8,FM823,5996.94,850.068,78,122.30738830566,30.978839874268
1748510046,"2025-05-29 09:14:06",B20D8,FM823,5996.94,850.068,78,122.34275817871,30.985219955444
