Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1781571842,"2026-06-16 01:04:02",B1905,FU6635,160.02,294.468,220,126.24706268311,45.620819091797
1781571857,"2026-06-16 01:04:17",B1905,FU6635,312.42,300.024,221,126.23806762695,45.613361358643
1781571872,"2026-06-16 01:04:32",B1905,FU6635,487.68,305.58,224,126.22776031494,45.605041503906
1781571887,"2026-06-16 01:04:47",B1905,FU6635,655.32,311.136,237,126.21465301514,45.597820281982
1781571902,"2026-06-16 01:05:02",B1905,FU6635,830.58,312.988,243,126.1990814209,45.592071533203
1781571917,"2026-06-16 01:05:17",B1905,FU6635,982.98,322.248,235,126.18430328369,45.585578918457
1781571932,"2026-06-16 01:05:32",B1905,FU6635,1165.86,312.988,234,126.17093658447,45.578750610352
1781571947,"2026-06-16 01:05:47",B1905,FU6635,1264.92,342.62,235,126.15673828125,45.57160949707
1781571962,"2026-06-16 01:06:02",B1905,FU6635,1341.12,383.364,235,126.14025878906,45.563369750977
1781571977,"2026-06-16 01:06:17",B1905,FU6635,1409.7,424.108,235,126.123046875,45.554759979248
1781571992,"2026-06-16 01:06:32",B1905,FU6635,1546.86,446.332,234,126.10395050049,45.544971466064
1781572007,"2026-06-16 01:06:47",B1905,FU6635,1645.92,481.52,234,126.08399200439,45.534610748291
1781572022,"2026-06-16 01:07:02",B1905,FU6635,1851.66,488.928,234,126.06288909912,45.523708343506
1781572037,"2026-06-16 01:07:17",B1905,FU6635,2019.3,494.484,235,126.04163360596,45.512790679932
1781572052,"2026-06-16 01:07:32",B1905,FU6635,2118.36,500.04,235,126.02011871338,45.501850128174
1781572067,"2026-06-16 01:07:47",B1905,FU6635,2209.8,509.3,234,125.99813842773,45.490589141846
1781572082,"2026-06-16 01:08:02",B1905,FU6635,2423.16,503.744,235,125.97627258301,45.479442596436
1781572097,"2026-06-16 01:08:17",B1905,FU6635,2674.62,496.336,235,125.9545211792,45.468479156494
1781572112,"2026-06-16 01:08:32",B1905,FU6635,2903.22,496.336,235,125.93327331543,45.457809448242
1781572127,"2026-06-16 01:08:47",B1905,FU6635,3101.34,500.04,235,125.91156005859,45.446811676025
1781572142,"2026-06-16 01:09:02",B1905,FU6635,3276.6,511.152,234,125.88999176025,45.435871124268
1781572157,"2026-06-16 01:09:17",B1905,FU6635,3421.38,525.968,234,125.86727905273,45.424278259277
1781572172,"2026-06-16 01:09:32",B1905,FU6635,3589.02,538.932,232,125.84450531006,45.412265777588
1781572187,"2026-06-16 01:09:47",B1905,FU6635,3802.38,540.784,228,125.82319641113,45.398860931396
1781572202,"2026-06-16 01:10:02",B1905,FU6635,4030.98,540.784,228,125.80176544189,45.38525390625
1781572217,"2026-06-16 01:10:17",B1905,FU6635,4259.58,538.932,228,125.78025054932,45.371570587158
1781572232,"2026-06-16 01:10:32",B1905,FU6635,4465.32,544.488,228,125.75846862793,45.357650756836
