Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1764546211,"2025-11-30 23:43:31",B1618,GS7827,0,227.796,335,117.37232208252,39.125659942627
1764546227,"2025-11-30 23:43:47",B1618,GS7827,0,290.764,335,117.36617279053,39.135589599609
1764546241,"2025-11-30 23:44:01",B1618,GS7827,137.16,283.356,334,117.36127471924,39.143600463867
1764546256,"2025-11-30 23:44:16",B1618,GS7827,335.28,277.8,335,117.35595703125,39.152252197266
1764546271,"2025-11-30 23:44:31",B1618,GS7827,518.16,281.504,335,117.34938812256,39.163101196289
1764546286,"2025-11-30 23:44:46",B1618,GS7827,662.94,292.616,335,117.34350585938,39.172824859619
1764546301,"2025-11-30 23:45:01",B1618,GS7827,838.2,288.912,335,117.33715057373,39.183330535889
1764546316,"2025-11-30 23:45:16",B1618,GS7827,952.5,314.84,334,117.33129882812,39.192810058594
1764546331,"2025-11-30 23:45:31",B1618,GS7827,1043.94,346.324,334,117.32440185547,39.204013824463
1764546346,"2025-11-30 23:45:46",B1618,GS7827,1150.62,385.216,335,117.31684875488,39.216293334961
1764546361,"2025-11-30 23:46:01",B1618,GS7827,1379.22,396.328,335,117.3087310791,39.22966003418
1764546376,"2025-11-30 23:46:16",B1618,GS7827,1562.1,416.7,334,117.30023193359,39.243396759033
1764546391,"2025-11-30 23:46:31",B1618,GS7827,1828.8,409.292,327,117.29107666016,39.257175445557
1764546406,"2025-11-30 23:46:46",B1618,GS7827,2065.02,403.736,298,117.2763671875,39.267471313477
1764546421,"2025-11-30 23:47:01",B1618,GS7827,2339.34,396.328,267,117.25799560547,39.270118713379
1764546436,"2025-11-30 23:47:16",B1618,GS7827,2621.28,409.292,238,117.23874664307,39.264953613281
1764546451,"2025-11-30 23:47:31",B1618,GS7827,2773.68,451.888,217,117.22406005859,39.253265380859
1764546466,"2025-11-30 23:47:46",B1618,GS7827,2918.46,481.52,216,117.21081542969,39.239208221436
1764546481,"2025-11-30 23:48:01",B1618,GS7827,3101.34,494.484,215.1,117.19727325439,39.224361419678
1764546496,"2025-11-30 23:48:16",B1618,GS7827,3208.02,529.672,215,117.18256378174,39.208190917969
1764546511,"2025-11-30 23:48:31",B1618,GS7827,3291.84,563.008,216,117.16735839844,39.191631317139
1764546526,"2025-11-30 23:48:46",B1618,GS7827,3375.66,592.64,216,117.15097808838,39.173812866211
1764546541,"2025-11-30 23:49:01",B1618,GS7827,3512.82,611.16,216,117.13407897949,39.155410766602
1764546556,"2025-11-30 23:49:16",B1618,GS7827,3703.32,618.568,215,117.1167678833,39.136505126953
1764546571,"2025-11-30 23:49:31",B1618,GS7827,3954.78,611.16,216,117.10009765625,39.118171691895
1764546582,"2025-11-30 23:49:42",B1618,GS7827,4130.04,607.456,215,117.0888671875,39.10578918457
1764546596,"2025-11-30 23:49:56",B1618,GS7827,4328.16,611.16,216,117.07135009766,39.086608886719
1764546611,"2025-11-30 23:50:11",B1618,GS7827,4450.08,614.864,216,117.0545501709,39.068298339844
1764546626,"2025-11-30 23:50:26",B1618,GS7827,4503.42,618.568,216,117.037109375,39.049320220947
1764546641,"2025-11-30 23:50:41",B1618,GS7827,4511.04,616.716,215,117.0200958252,39.03076171875
1764546656,"2025-11-30 23:50:56",B1618,GS7827,4511.04,618.568,216,117.00254058838,39.011535644531
1764546671,"2025-11-30 23:51:11",B1618,GS7827,4511.04,618.568,215,116.98571777344,38.993129730225
1764546686,"2025-11-30 23:51:26",B1618,GS7827,4511.04,622.272,216,116.96784973145,38.973628997803
1764546701,"2025-11-30 23:51:41",B1618,GS7827,4511.04,622.272,216,116.95066070557,38.954864501953
1764546715,"2025-11-30 23:51:55",B1618,GS7827,4511.04,622.272,215,116.93794250488,38.940948486328
1764546730,"2025-11-30 23:52:10",B1618,GS7827,4511.04,622.272,216,116.92071533203,38.922046661377
1764546744,"2025-11-30 23:52:24",B1618,GS7827,4511.04,620.42,216,116.90325927734,38.902820587158
1764546759,"2025-11-30 23:52:39",B1618,GS7827,4511.04,620.42,216,116.88616943359,38.884105682373
1764546774,"2025-11-30 23:52:54",B1618,GS7827,4511.04,622.272,216,116.86897277832,38.865188598633
1764546789,"2025-11-30 23:53:09",B1618,GS7827,4511.04,622.272,215,116.85130310059,38.845825195312
1764546804,"2025-11-30 23:53:24",B1618,GS7827,4511.04,622.272,216,116.83447265625,38.82735824585
1764546819,"2025-11-30 23:53:39",B1618,GS7827,4511.04,622.272,216,116.81684875488,38.808013916016
1764546834,"2025-11-30 23:53:54",B1618,GS7827,4511.04,622.272,215,116.79974365234,38.789234161377
1764546849,"2025-11-30 23:54:09",B1618,GS7827,4511.04,620.42,215,116.78234100342,38.769973754883
1764546864,"2025-11-30 23:54:24",B1618,GS7827,4511.04,618.568,215,116.76422119141,38.749988555908
1764546879,"2025-11-30 23:54:39",B1618,GS7827,4511.04,618.568,215,116.74688720703,38.730808258057
1764546894,"2025-11-30 23:54:54",B1618,GS7827,4511.04,618.568,215,116.72973632812,38.711910247803
