Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1721359061,"2024-07-19 03:17:41",B320Z,HO2348,4259.58,525.968,197,100.17487335205,26.469930648804
1721359076,"2024-07-19 03:17:56",B320Z,HO2348,4457.7,524.116,198,100.16835784912,26.450870513916
1721359091,"2024-07-19 03:18:11",B320Z,HO2348,4632.96,529.672,198,100.16194152832,26.432050704956
1721359106,"2024-07-19 03:18:26",B320Z,HO2348,4838.7,522.264,198,100.15545654297,26.413240432739
1721359121,"2024-07-19 03:18:41",B320Z,HO2348,4975.86,533.376,198,100.14882659912,26.39395904541
1721359136,"2024-07-19 03:18:56",B320Z,HO2348,5113.02,544.488,198,100.14222717285,26.374589920044
1721359151,"2024-07-19 03:19:11",B320Z,HO2348,5242.56,553.748,217,100.1314163208,26.356159210205
1721359166,"2024-07-19 03:19:26",B320Z,HO2348,5379.72,557.452,242,100.11318206787,26.34354019165
1721359181,"2024-07-19 03:19:41",B320Z,HO2348,5509.26,568.564,270,100.09094238281,26.339719772339
1721359196,"2024-07-19 03:19:56",B320Z,HO2348,5638.8,577.824,293,100.06704711914,26.345630645752
1721359211,"2024-07-19 03:20:11",B320Z,HO2348,5745.48,590.788,317,100.04889678955,26.35862159729
1721359226,"2024-07-19 03:20:26",B320Z,HO2348,5890.26,594.492,345,100.03811645508,26.378690719604
1721359241,"2024-07-19 03:20:41",B320Z,HO2348,6012.18,600.048,9,100.03801727295,26.400709152222
1721359256,"2024-07-19 03:20:56",B320Z,HO2348,6126.48,611.16,37,100.04921722412,26.421188354492
1721359271,"2024-07-19 03:21:11",B320Z,HO2348,6240.78,620.42,64,100.07070922852,26.435386657715
1721359286,"2024-07-19 03:21:26",B320Z,HO2348,6400.8,614.864,69,100.09352874756,26.443389892578
1721359301,"2024-07-19 03:21:41",B320Z,HO2348,6553.2,614.864,69,100.11741638184,26.451370239258
1721359316,"2024-07-19 03:21:56",B320Z,HO2348,6690.36,614.864,68,100.1420211792,26.459869384766
1721359331,"2024-07-19 03:22:11",B320Z,HO2348,6819.9,618.568,68,100.16557312012,26.46821975708
1721359346,"2024-07-19 03:22:26",B320Z,HO2348,6941.82,624.124,68,100.18977355957,26.476860046387
1721359361,"2024-07-19 03:22:41",B320Z,HO2348,7071.36,624.124,68,100.21411895752,26.485610961914
1721359372,"2024-07-19 03:22:52",B320Z,HO2348,7139.94,629.68,68,100.23023986816,26.491380691528
1721359386,"2024-07-19 03:23:06",B320Z,HO2348,7246.62,635.236,68,100.25537109375,26.500329971313
1721359401,"2024-07-19 03:23:21",B320Z,HO2348,7353.3,640.792,68,100.27967834473,26.509050369263
1721359416,"2024-07-19 03:23:36",B320Z,HO2348,7459.98,644.496,68,100.3049621582,26.518060684204
1721359431,"2024-07-19 03:23:51",B320Z,HO2348,7505.7,663.016,68,100.33020782471,26.527090072632
1721359446,"2024-07-19 03:24:06",B320Z,HO2348,7528.56,683.388,68,100.35652160645,26.536449432373
1721359461,"2024-07-19 03:24:21",B320Z,HO2348,7566.66,701.908,68,100.38345336914,26.546039581299
1721359476,"2024-07-19 03:24:36",B320Z,HO2348,7612.38,716.724,68,100.41117858887,26.555910110474
1721359491,"2024-07-19 03:24:51",B320Z,HO2348,7642.86,733.392,68,100.439453125,26.565990447998
1721359506,"2024-07-19 03:25:06",B320Z,HO2348,7665.72,750.06,68,100.46872711182,26.576389312744
1721359521,"2024-07-19 03:25:21",B320Z,HO2348,7696.2,764.876,68,100.49812316895,26.586820602417
1721359536,"2024-07-19 03:25:36",B320Z,HO2348,7726.68,783.396,68,100.52837371826,26.59753036499
1721359551,"2024-07-19 03:25:51",B320Z,HO2348,7772.4,794.508,68,100.55950164795,26.608560562134
