Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1783666218,"2026-07-10 06:50:18",B228X,HU430,0,5.5559998,104,100.75229644775,13.686779975891
1783666341,"2026-07-10 06:52:21",B228X,HU430,0,1.852,194,100.75171661377,13.687390327454
1783666342,"2026-07-10 06:52:22",B228X,HU430,0,1.852,194,100.75171661377,13.687399864197
1783666358,"2026-07-10 06:52:38",B228X,HU430,0,1.852,194,100.75171661377,13.687390327454
1783666363,"2026-07-10 06:52:43",B228X,HU430,0,1.852,194,100.75171661377,13.687399864197
1783666438,"2026-07-10 06:53:58",B228X,HU430,0,0,194,100.75171661377,13.687399864197
1783666579,"2026-07-10 06:56:19",B228X,HU430,0,0,194,100.75170898438,13.687419891357
1783666580,"2026-07-10 06:56:20",B228X,HU430,0,0,194,100.75171661377,13.687419891357
1783666634,"2026-07-10 06:57:14",B228X,HU430,0,0,194,100.75170898438,13.687419891357
1783666660,"2026-07-10 06:57:40",B228X,HU430,0,0,194,100.75171661377,13.687399864197
1783666687,"2026-07-10 06:58:07",B228X,HU430,0,7.408,194,100.75169372559,13.687239646912
1783666698,"2026-07-10 06:58:18",B228X,HU430,0,12.964,196,100.75158691406,13.686860084534
1783666703,"2026-07-10 06:58:23",B228X,HU430,0,12.964,196,100.75155639648,13.686719894409
1783666708,"2026-07-10 06:58:28",B228X,HU430,0,14.816,194,100.75151824951,13.686559677124
1783666719,"2026-07-10 06:58:39",B228X,HU430,0,14.816,202,100.75140380859,13.686180114746
1783666735,"2026-07-10 06:58:55",B228X,HU430,0,16.668,281,100.75081634521,13.685970306396
1783666740,"2026-07-10 06:59:00",B228X,HU430,0,18.52,284,100.7505569458,13.686030387878
1783666751,"2026-07-10 06:59:11",B228X,HU430,0,24.076,284,100.74996948242,13.686200141907
1783666772,"2026-07-10 06:59:32",B228X,HU430,0,29.632,284,100.74870300293,13.686519622803
1783666777,"2026-07-10 06:59:37",B228X,HU430,0,29.632,284,100.74842071533,13.686579704285
1783666782,"2026-07-10 06:59:42",B228X,HU430,0,31.484,284,100.74775695801,13.68673992157
1783666804,"2026-07-10 07:00:04",B228X,HU430,0,27.78,284,100.74619293213,13.687160491943
1783666814,"2026-07-10 07:00:14",B228X,HU430,0,24.076,284,100.74552154541,13.687319755554
1783666819,"2026-07-10 07:00:19",B228X,HU430,0,24.076,284,100.74517822266,13.687410354614
1783666825,"2026-07-10 07:00:25",B228X,HU430,0,22.224,284,100.7448425293,13.6875
1783666841,"2026-07-10 07:00:41",B228X,HU430,0,12.964,284,100.74420166016,13.687660217285
1783666846,"2026-07-10 07:00:46",B228X,HU430,0,11.112,284,100.74404144287,13.687689781189
1783666868,"2026-07-10 07:01:08",B228X,HU430,0,7.408,284,100.74353027344,13.68782043457
1783666894,"2026-07-10 07:01:34",B228X,HU430,0,3.704,284,100.74336242676,13.687860488892
1783666905,"2026-07-10 07:01:45",B228X,HU430,0,9.26,284,100.74317932129,13.687919616699
