Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1762784881,"2025-11-10 14:28:01",B8072,JD5908,0,16.668,353,116.43151092529,39.514869689941
1762784906,"2025-11-10 14:28:26",B8072,JD5908,0,3.704,353,116.43209075928,39.515258789062
1762784911,"2025-11-10 14:28:31",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762784919,"2025-11-10 14:28:39",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762784924,"2025-11-10 14:28:44",B8072,JD5908,0,0,353,116.43209838867,39.515239715576
1762784930,"2025-11-10 14:28:50",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762784940,"2025-11-10 14:29:00",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762784954,"2025-11-10 14:29:14",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762785007,"2025-11-10 14:30:07",B8072,JD5908,0,0,353,116.43209838867,39.515239715576
1762785010,"2025-11-10 14:30:10",B8072,JD5908,0,0,353,116.43209838867,39.515239715576
1762785052,"2025-11-10 14:30:52",B8072,JD5908,0,0,353,116.43209838867,39.515239715576
1762785061,"2025-11-10 14:31:01",B8072,JD5908,0,0,353,116.43209838867,39.515239715576
1762785072,"2025-11-10 14:31:12",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762785078,"2025-11-10 14:31:18",B8072,JD5908,0,0,353,116.43209838867,39.515251159668
1762785107,"2025-11-10 14:31:47",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762785111,"2025-11-10 14:31:51",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762785116,"2025-11-10 14:31:56",B8072,JD5908,0,0,353,116.43209075928,39.515247344971
1762785121,"2025-11-10 14:32:01",B8072,JD5908,0,0,353,116.43209838867,39.515251159668
1762785241,"2025-11-10 14:34:01",B8072,JD5908,0,168.532,103,116.44134521484,39.514846801758
1762785256,"2025-11-10 14:34:16",B8072,JD5908,0,275.948,103,116.45179748535,39.51301574707
1762785271,"2025-11-10 14:34:31",B8072,JD5908,76.2,303.728,103,116.46661376953,39.510368347168
1762785286,"2025-11-10 14:34:46",B8072,JD5908,228.6,311.136,103,116.48059082031,39.507911682129
1762785301,"2025-11-10 14:35:01",B8072,JD5908,441.96,322.248,103,116.49890136719,39.504680633545
1762785316,"2025-11-10 14:35:16",B8072,JD5908,609.6,325.952,102,116.51422119141,39.50199508667
1762785331,"2025-11-10 14:35:31",B8072,JD5908,777.24,329.656,103,116.52947235107,39.499240875244
1762785351,"2025-11-10 14:35:51",B8072,JD5908,952.5,340.768,103,116.54721069336,39.496028900146
1762785366,"2025-11-10 14:36:06",B8072,JD5908,1059.18,368.548,103,116.56475830078,39.492874145508
1762785381,"2025-11-10 14:36:21",B8072,JD5908,1104.9,412.996,103,116.58261871338,39.48957824707
1762785396,"2025-11-10 14:36:36",B8072,JD5908,1127.76,451.888,103,116.60321044922,39.485889434814
1762785411,"2025-11-10 14:36:51",B8072,JD5908,1127.76,485.224,102,116.62608337402,39.481838226318
1762785426,"2025-11-10 14:37:06",B8072,JD5908,1135.38,494.484,101,116.64919281006,39.478000640869
1762785441,"2025-11-10 14:37:21",B8072,JD5908,1135.38,498.188,101,116.67468261719,39.474250793457
1762785456,"2025-11-10 14:37:36",B8072,JD5908,1135.38,500.04,101,116.70024108887,39.47053527832
1762785471,"2025-11-10 14:37:51",B8072,JD5908,1135.38,501.892,101,116.7233505249,39.467102050781
1762785486,"2025-11-10 14:38:06",B8072,JD5908,1226.82,498.188,101,116.745262146,39.463851928711
1762785501,"2025-11-10 14:38:21",B8072,JD5908,1470.66,511.152,126,116.77165222168,39.454280853271
1762785516,"2025-11-10 14:38:36",B8072,JD5908,1607.82,518.56,144,116.78430938721,39.4423828125
1762785531,"2025-11-10 14:38:51",B8072,JD5908,1714.5,520.412,159,116.79431152344,39.424160003662
1762785546,"2025-11-10 14:39:06",B8072,JD5908,1737.36,518.56,159,116.80275726318,39.406997680664
1762785561,"2025-11-10 14:39:21",B8072,JD5908,1744.98,518.56,158,116.80999755859,39.389999389648
1762785576,"2025-11-10 14:39:36",B8072,JD5908,1844.04,514.856,159,116.82092285156,39.370811462402
1762785591,"2025-11-10 14:39:51",B8072,JD5908,2057.4,525.968,158,116.82998657227,39.353031158447
1762785606,"2025-11-10 14:40:06",B8072,JD5908,2270.76,537.08,158,116.83972167969,39.333850860596
1762785621,"2025-11-10 14:40:21",B8072,JD5908,2461.26,548.192,158,116.84918212891,39.315231323242
1762785636,"2025-11-10 14:40:36",B8072,JD5908,2735.58,542.636,159,116.85894775391,39.295944213867
1762785651,"2025-11-10 14:40:51",B8072,JD5908,2948.94,548.192,159,116.86831665039,39.277359008789
