Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1741957478,"2025-03-14 13:04:38",B8395,MU720,144.78,292.616,341,121.78791809082,31.155944824219
1741957493,"2025-03-14 13:04:53",B8395,MU720,335.28,296.32,342,121.78360748291,31.167343139648
1741957504,"2025-03-14 13:05:04",B8395,MU720,419.1,307.432,342,121.78108215332,31.174217224121
1741957519,"2025-03-14 13:05:19",B8395,MU720,586.74,309.284,343,121.77714538574,31.185287475586
1741957534,"2025-03-14 13:05:34",B8395,MU720,731.52,316.692,342,121.7731628418,31.19645690918
1741957548,"2025-03-14 13:05:48",B8395,MU720,861.06,327.804,342,121.76858520508,31.208129882812
1741957563,"2025-03-14 13:06:03",B8395,MU720,982.98,346.324,342,121.7639541626,31.220260620117
1741957579,"2025-03-14 13:06:19",B8395,MU720,1066.8,377.808,342,121.75894927979,31.233852386475
1741957593,"2025-03-14 13:06:33",B8395,MU720,1135.38,414.848,340,121.75323486328,31.247537612915
1741957608,"2025-03-14 13:06:48",B8395,MU720,1188.72,459.296,340,121.74664306641,31.26294708252
1741957624,"2025-03-14 13:07:04",B8395,MU720,1272.54,501.892,340,121.7393951416,31.280136108398
1741957639,"2025-03-14 13:07:19",B8395,MU720,1386.84,540.784,340,121.73143005371,31.298837661743
1741957653,"2025-03-14 13:07:33",B8395,MU720,1562.1,557.452,340,121.72323608398,31.317855834961
1741957668,"2025-03-14 13:07:48",B8395,MU720,1783.08,563.008,340,121.71445465088,31.338081359863
1741957683,"2025-03-14 13:08:03",B8395,MU720,2019.3,563.008,340,121.70600128174,31.35791015625
1741957694,"2025-03-14 13:08:14",B8395,MU720,2209.8,555.6,342,121.70099639893,31.370727539062
1741957709,"2025-03-14 13:08:29",B8395,MU720,2446.02,555.6,342,121.69340515137,31.391098022461
1741957723,"2025-03-14 13:08:43",B8395,MU720,2613.66,559.304,342,121.68608093262,31.410690307617
1741957739,"2025-03-14 13:08:59",B8395,MU720,2804.16,559.304,342,121.6784286499,31.430786132812
1741957754,"2025-03-14 13:09:14",B8395,MU720,3017.52,561.156,342,121.67089080811,31.45059967041
1741957768,"2025-03-14 13:09:28",B8395,MU720,3185.16,574.12,342,121.66309356689,31.47093963623
1741957784,"2025-03-14 13:09:44",B8395,MU720,3268.98,603.752,342,121.65490722656,31.49235534668
1741957799,"2025-03-14 13:09:59",B8395,MU720,3429,618.568,342,121.64666748047,31.514139175415
1741957813,"2025-03-14 13:10:13",B8395,MU720,3665.22,607.456,341,121.63799285889,31.536670684814
1741957829,"2025-03-14 13:10:29",B8395,MU720,3840.48,596.344,322,121.62441253662,31.555850982666
1741957843,"2025-03-14 13:10:43",B8395,MU720,4046.22,588.936,316,121.60620880127,31.571960449219
1741957854,"2025-03-14 13:10:54",B8395,MU720,4175.76,588.936,315,121.59387969971,31.582569122314
1741957869,"2025-03-14 13:11:09",B8395,MU720,4343.4,592.64,315,121.57599639893,31.597820281982
1741957884,"2025-03-14 13:11:24",B8395,MU720,4518.66,590.788,315,121.55706787109,31.613899230957
1741957898,"2025-03-14 13:11:38",B8395,MU720,4701.54,592.64,315,121.5385055542,31.629592895508
1741957913,"2025-03-14 13:11:53",B8395,MU720,4785.36,611.16,314,121.52057647705,31.644649505615
1741957928,"2025-03-14 13:12:08",B8395,MU720,4792.98,640.792,314,121.50010681152,31.661809921265
1741957939,"2025-03-14 13:12:19",B8395,MU720,4800.6,663.016,315,121.48664855957,31.673170089722
1741957953,"2025-03-14 13:12:33",B8395,MU720,4922.52,672.276,315,121.46533966064,31.691129684448
1741957964,"2025-03-14 13:12:44",B8395,MU720,5074.92,661.164,315,121.45170593262,31.702743530273
1741957979,"2025-03-14 13:12:59",B8395,MU720,5273.04,655.608,315,121.43171691895,31.719720840454
1741957993,"2025-03-14 13:13:13",B8395,MU720,5417.82,659.312,315,121.41035461426,31.73777961731
1741958004,"2025-03-14 13:13:24",B8395,MU720,5539.74,655.608,315,121.39683532715,31.749185562134
1741958019,"2025-03-14 13:13:39",B8395,MU720,5745.48,642.644,315,121.37641143799,31.766464233398
1741958038,"2025-03-14 13:13:58",B8395,MU720,5867.4,648.2,315,121.35547637939,31.784099578857
1741958054,"2025-03-14 13:14:14",B8395,MU720,5958.84,655.608,315,121.33503723145,31.801250457764
1741958068,"2025-03-14 13:14:28",B8395,MU720,6057.9,663.016,315,121.314453125,31.818450927734
1741958079,"2025-03-14 13:14:39",B8395,MU720,6156.96,663.016,315,121.30055236816,31.830089569092
1741958094,"2025-03-14 13:14:54",B8395,MU720,6309.36,663.016,314,121.27829742432,31.848810195923
1741958109,"2025-03-14 13:15:09",B8395,MU720,6385.56,670.424,315,121.25721740723,31.866449356079
1741958124,"2025-03-14 13:15:24",B8395,MU720,6492.24,674.128,314,121.23572540283,31.884475708008
1741958138,"2025-03-14 13:15:38",B8395,MU720,6637.02,674.128,315,121.21485137939,31.902009963989
1741958153,"2025-03-14 13:15:53",B8395,MU720,6751.32,679.684,314,121.19393920898,31.919519424438
1741958164,"2025-03-14 13:16:04",B8395,MU720,6827.52,681.536,314,121.17948150635,31.931623458862
