flight_id,gpx_filename,flight_no,date,dpt,arr,via
1,20250908_8L9518.gpx,8L9518,20250908,LXA,XNN,
2,20250301_9C6363.gpx,9C6363,20250301,PVG,KIX,
3,20250304_9C6998.gpx,9C6998,20250304,KIX,PVG,
4,20241109_9C8909.gpx,9C8909,20241109,SHA,JJN,
5,20250910_9H8403.gpx,9H8403,20250910,XIY,KWE,
6,20240611_CA1550.gpx,CA1550,20240611,SHA,PEK,
7,20240611_CA1829.gpx,CA1829,20240611,CAN,SHA,
8,20250216_CA952.gpx,CA952,20250216,DLC,TSN,
9,20250528_CZ2308.gpx,CZ2308,20250528,PVG,CKG,
10,20250427_CZ3533.gpx,CZ3533,20250427,CAN,SHA,
11,20250606_CZ6252.gpx,CZ6252,20250606,PVG,HRB,
12,20250609_CZ6257.gpx,CZ6257,20250609,HRB,PVG,
13,20250220_CZ6521.gpx,CZ6521,20250220,DLC,PVG,
14,20241007_CZ6525.gpx,CZ6525,20241007,DLC,PVG,
15,20241001_CZ6526.gpx,CZ6526,20241001,PVG,DLC,
16,20250219_CZ6526.gpx,CZ6526,20250219,PVG,DLC,
17,20250214_CZ6536.gpx,CZ6536,20250214,PVG,DLC,
18,20250420_CZ6697.gpx,CZ6697,20250420,KWE,HGH,
19,20250603_CZ6909.gpx,CZ6909,20250603,URC,PKX,
20,20250815_CZ7054.gpx,CZ7054,20250815,OHE,JGD,
21,20250418_CZ8264.gpx,CZ8264,20250418,SHA,KWE,
22,20241021_CZ8839.gpx,CZ8839,20241021,PKX,SHA,
23,20241104_CZ8879.gpx,CZ8879,20241104,PKX,SHA,
24,20241202_CZ8879.gpx,CZ8879,20241202,PKX,SHA,
25,20241129_CZ8880.gpx,CZ8880,20241129,SHA,PKX,
26,20250411_CZ8886.gpx,CZ8886,20250411,SHA,PKX,
27,20250515_CZ8886.gpx,CZ8886,20250515,SHA,PKX,
28,20241220_CZ8888.gpx,CZ8888,20241220,SHA,PKX,
29,20241222_CZ8889.gpx,CZ8889,20241222,PKX,PVG,
30,20241102_CZ888R.gpx,CZ888R,20241102,SHA,PKX,
31,20250604_CZ8899.gpx,CZ8899,20250604,PKX,SHA,
32,20250529_FM823.gpx,FM823,20250529,SHA,GMP,
33,20251018_FM9224.gpx,FM9224,20251018,URC,PVG,
34,20251204_FM9426.gpx,FM9426,20251204,CKG,PVG,
35,20251205_FM9525.gpx,FM9525,20251205,PVG,WNZ,
36,20250820_G54818.gpx,G54818,20250820,HLD,TGO,
37,20250915_GS6697.gpx,GS6697,20250915,TSN,CAN,
38,20251201_GS7827.gpx,GS7827,20251201,TSN,HAK,HNY
39,20250912_GS7974.gpx,GS7974,20250912,KIX,TSN,
40,20250910_GS7983.gpx,GS7983,20250910,KWE,KIX,
41,20251026_GX8960.gpx,GX8960,20251026,JNG,NNG,
42,20240719_HO2348.gpx,HO2348,20240719,LJG,NKG,
43,20251114_HU7136.gpx,HU7136,20251114,CSX,PEK,
44,20251013_HU7145.gpx,HU7145,20251013,PEK,URC,
45,20251011_HU7246.gpx,HU7246,20251011,URC,PEK,
46,20251117_HU7609.gpx,HU7609,20251117,PEK,SHA,
47,20251107_HU7610.gpx,HU7610,20251107,SHA,PEK,
48,20251126_HU7678.gpx,HU7678,20251126,HGH,PEK,
49,20240606_HU7705.gpx,HU7705,20240606,PEK,SZX,
50,20251028_JD5314.gpx,JD5314,20251028,NNG,HGH,
51,20240712_JD5550.gpx,JD5550,20240712,NKG,LJG,
52,20251110_JD5908.gpx,JD5908,20251110,PKX,HGH,
53,20250217_KN2905.gpx,KN2905,20250217,TSN,PVG,
54,20250807_MU2039.gpx,MU2039,20250807,TAO,ICN,
55,20250530_MU2074.gpx,MU2074,20250530,ICN,PKX,
56,20250502_MU2191.gpx,MU2191,20250502,XNN,HBQ,
57,20250502_MU2192.gpx,MU2192,20250502,HBQ,XNN,
58,20250316_MU2216.gpx,MU2216,20250316,DNH,XIY,
59,20250315_MU2233.gpx,MU2233,20250315,LHW,DNH,
60,20250317_MU2239.gpx,MU2239,20250317,XIY,SHA,
61,20250909_MU2350.gpx,MU2350,20250909,XNN,XIY,
62,20250808_MU5052.gpx,MU5052,20250808,ICN,PVG,
63,20250414_MU5152.gpx,MU5152,20250414,PEK,SHA,
