name,name_en
JR东海道线（米原-大阪）,JR Tokaido Line
JR关西线（久宝寺-柘植）,JR Kansai Line
JR北陆线（米原-敦贺）,JR Hokuriku Line
JR大阪环状线,JR Osaka Loop Line
JR奈良线（京都-木津）,JR Nara Line
JR山阳线（三宫-姬路）,JR Sanyo Line
JR湖西线（山科-近江盐津）,JR Kosei Line
JR纪势线（和歌山-和歌山市）,JR Kisei Line
JR草津线（草津-柘植）,JR Kusatsu Line
JR阪和线（天王寺-和歌山）,JR Hanwa Line
上海南联络线（沪春一二线）,Shanghai S. Link Line
上海南联络线（沪春三四线）,Shanghai S. Link Line
上饶东南联络线,Link Line
东新联络线（东门-新香坊）,Link Line
东星线（北京东-北京朝阳）,Link Line
京九线（南昌-向塘-三江镇）,Beijing-Kowloon Railway
京九线（黄土坡线路所-乐化）,Beijing-Kowloon Railway
京包-包兰线（呼和浩特-银川）,Beijing-Baotou-Lanzhou Railway
京包客运专线（北京北-呼和浩特）,Beijing-Baotou Highspeed Railway
京包线（北京丰台-宣化）,Beijing-Baotou Railway
京包线（黄土店-康庄）,Beijing-Baotou Railway
京包青龙桥上行线,Beijing-Baotou Railway (Qinglongqiao Branch)
京原线（石景山南-燕山）,Beijing-Yuanping Railway
京哈线（北京-哈尔滨）,Beijing-Harbin Railway
京哈高速线（北京朝阳-姚家窝堡所）,Beijing-Harbin Highspeed Railway
京哈高速线（沈阳北-哈尔滨）,Beijing-Harbin Highspeed Railway
京唐城际线（燕郊-北刘各庄所）,Beijing-Tangshan Intercity Railway
京广线（武昌-武昌南）,Beijing-Guangzhou Railway
京广线（汉西-武昌）,Beijing-Guangzhou Railway
京广线（长辛店-柳辛庄）,Beijing-Guangzhou Railway
京广高速线（北京西-石家庄）,Beijing-Guangzhou Highspeed Railway
京广高速线（横店东-深圳北）,Beijing-Guangzhou Highspeed Railway
京承线（怀柔-顺义）,Beijing-Chengde Railway
京承线（赵家店所-承德）,Beijing-Chengde Railway
京沪线济南外绕段,Beijing-Shanghai Railway
京沪线（北京-上海）,Beijing-Shanghai Railway
京沪高速线（北京南-上海虹桥）,Beijing-Shanghai Highspeed Railway
京津城际线（北京南-天津）,Beijing-Tianjin Intercity 
京通线（昌平-隆化）,Beijing-Tongliao Railway
京阪本线（淀屋桥-三条）,Keihan Railway
京雄城际线（北京西-雄安）,Beijing-Xiong'an Intercity Railway
伊加线（伊图里河-加格达奇）,Yitulihe-Jagdaqi Railway
兰新客运专线（兰州西-海东西）,Lanzhou-Xinjiang Passenger Railway
兰青线（兰州-西宁）,Lanzhou-Qinghai Railway
北京直径线（北京-北京西）,Beijing Cross City Railway
南凭高速线（南宁-崇左南）,Nanning-Pingxiang Highspeed Railway
南广线（佛山西-广州南）,Nanning-Guangzhou Railway
南昌西环线,Nanchang Loop Railway
南海加太线（纪之川-加太）,Nankai Railway Kada Branch
南海本线（新今宫-和歌山市）,Nankai Railway
南海机场线（泉佐野-关西机场）,Nankai Railway KIX Branch
南昆客运专线（昆明南-昆明）,Nanning-Kunming Passenger Railway
南珠高速线（南宁东-玉林北）,Nanning-Zhuhai Highspeed Railway
合杭高速线（妙西镇所-桐庐东）,Hefei-Hangzhou Highspeed Railway
合杭高速线（胡庄所-湖州）,Hefei-Hangzhou Highspeed Railway
合福高速线（上饶-福州）,Hefei-Fuzhou Highspeed Railway
合福高速线（合肥南-黄山北）,Hefei-Fuzhou Highspeed Railway
向东联络线（向塘-梁家渡）,Link Line
哈牡客运专线（哈尔滨-牡丹江）,Harbin-Mudanjiang Passenger Railway
哈环线（东门-哈尔滨东）,Harbin Loop Railway
哈长联络线,Link Line 
太中线（太原南-定边）,Taiyuan-Zhongwei Railway
太仓联络线（太仓-陆渡所）,Link Line
姚田联络线,Link Line
宁启线（林场-海安）,Nanjing-Qidong Railway
宁杭高速线（湖州-杭州东）,Nanjing-Hangzhou Highspeed Railway
宁蓉线（仙林-汉口）,Nanjing-Chengdu Railway
宁蓉线（新墩-重庆北）,Nanjing-Chengdu Railway
定银线（定边-银川）,Dingbian-Yinchuan Railway
宣绩高速线（宣城-绩溪北）,Xuancheng-Jixi Highspeed Railway
富西线（富裕-漠河）,Fuyu-Xilinji(Mohe) Railway
峨广线（峨眉-广通北）,Emei-Guangtong Railway
川青线（黄龙九寨-三星堆）,Chengdu-Xining Railway
巢湖东南联络线,Link Line
平齐线（四平-齐齐哈尔）,Siping-Qiqihar Railway
广州东环城际线（花都-白云机场北）,Guangzhou-Foshan Loop Intercity Railway
广惠城际线（番禺-西平西）,Guangzhou-Huizhou Intercity Railway
广深城际线（广州东-深圳）,Guangzhou-Shenzhen Intercity Railway
广深港高速线（福田-香港西九龙）,Guangzhou-Shenzhen-HK Highspeed Railway
广清城际线（广州北-清城）,Guangzhou-Qingyuan Intercity Railway
广肇城际线（番禺-佛山西）,Guangzhou-Zhaoqing Intercity Railway
康山联络线,Link Line
康延线,Kangzhuang-Yanqing Railway
延庆线（八达岭西所-延庆）,Yanqing Branch Railway
张唐线（李家营-唐山）,Zhangjiakou-Tangshan Railway
