code,name,name_en,lat,lon,type,country
10001,北京,Beijing,39.901440,116.421130,station,cr
10010,北京南,Beijing S.,39.863072,116.372838,station,cr
21152,北京西,Beijing W.,39.892572,116.317173,station,cr
12713,北京北,Beijing N.,39.943899,116.346821,station,cr
11389,北京朝阳,Beijing Chaoyang,39.943668,116.503226,station,cr
10025,北京丰台,Beijing Fengtai,39.849629,116.295393,station,cr
12707,清河,Qinghe,40.040723,116.307714,station,cr
12181,八达岭长城,Badaling Great Wall,40.358029,116.004910,station,cr
12285,八达岭,Badaling,40.358876,115.995334,station,cr
12224,延庆,Yanqing,40.435215,115.978119,station,cr
12221,康庄,Kangzhuang,40.378821,115.892272,station,cr
12167,黄土店,Huangtudian,40.068241,116.357243,station,cr
21156,北京大兴,Beijing Daxing,39.719037,116.322743,station,cr
21158,大兴机场,Daxing Airport,39.510900,116.409504,station,cr
11609,昌平北,Changping N.,40.230012,116.227095,station,cr
11630,怀柔北,Huairou N.,40.407876,116.686425,station,cr
11675,古北口,Gubeikou,40.690513,117.135340,station,cr
11366,顺义,Shunyi,40.124766,116.639598,station,cr
14195,燕山,Yanshan,39.747983,115.952348,station,cr
11333,双桥,Shuangqiao,39.899197,116.564070,junction,cr
9652adef,香河,Xianghe,39.718190,117.027676,station,cr
14c24aa2,北京通州,Beijing Tongzhou,39.907964,116.700146,station,cr
20255,良乡,Liangxiang,39.739625,116.151071,station,cr
10157,天津,Tianjin,39.136792,117.203720,station,cr
16010,天津西,Tianjin W.,39.156945,117.157228,station,cr
10148,天津北,Tianjin N.,39.165954,117.203217,station,cr
11132,蓟州,Jizhou,39.993686,117.362706,station,cr
10526,蓟州北,Jizhou N.,40.025454,117.391628,station,cr
20372,石家庄,Shijiazhuang,38.009434,114.478487,station,cr
26426,石家庄北,Shijiazhuang N.,38.064809,114.458946,station,cr
10214,唐山,Tangshan,39.622864,118.115152,station,cr
11492,承德,Chengde,40.963096,117.948261,station,cr
52920,承德南,Chengde S.,40.883668,117.958703,station,cr
20383,霸州西,Bazhou W.,39.092989,116.344457,station,cr
21162,霸州北,Bazhou N.,39.185558,116.321097,station,cr
21164,雄安,Xiong'an,39.055624,116.154071,station,cr
20387,白洋淀,Baiyangdian,39.068633,115.868901,station,cr
10319,秦皇岛,Qinhuangdao,39.964616,119.586226,station,cr
10331,山海关,Shanhaiguan,39.999403,119.761552,station,cr
10307,北戴河,Beidaihe,39.849858,119.413620,station,cr
12782,张家口,Zhangjiakou,40.750704,114.876733,station,cr
12290,宣化,Xuanhua,40.596602,115.050377,station,cr
11108,燕郊,Yanjiao,39.940570,116.819673,station,cr
12581,呼和浩特,Hohhot,40.829499,111.658306,station,cr
12578,呼和浩特东,Hohhot E.,40.848343,111.759334,station,cr
12113,乌兰察布,Ulanqab,40.963345,113.152254,station,cr
53363,通辽,Tongliao,43.602941,122.266425,station,cr
57785,海拉尔,Hailar,49.228430,119.736663,station,cr
55661,哈尔滨,Harbin,45.758149,126.624860,station,cr
60002,哈尔滨东,Harbin E.,45.784391,126.707134,station,cr
53469,哈尔滨西,Harbin W.,45.705387,126.571042,station,cr
59789,呼兰,Hulan,45.996263,126.640569,station,cr
61193,牡丹江,Mudanjiang,44.589049,129.606280,station,cr
61189,横道河子东,Hengdaohezi E.,44.788929,129.099080,station,cr
62231,绥芬河,Suifenhe,44.404199,131.129175,station,cr
56675,齐齐哈尔,Qiqihar,47.338071,123.989172,station,cr
59150,漠河,Mohe,52.986709,122.500514,station,cr
54116,长春,Changchun,43.909017,125.318013,station,cr
65960,龙嘉,Longjia Airport,43.990324,125.693945,station,cr
63059,吉林,Jilin,43.857022,126.572451,station,cr
54011,四平,Siping,43.165104,124.367280,station,cr
53487,四平东,Siping E.,43.135985,124.431780,station,cr
64418,通化,Tonghua,41.776100,125.916260,station,cr
64090,长白山,Changbaishan,42.459589,128.122375,station,cr
53885,沈阳北,Shenyang N.,41.816960,123.429815,station,cr
63623,沈阳南,Shenyang S.,41.666370,123.400938,station,cr
53522,大连,Dalian,38.921389,121.628079,station,cr
53520,大连北,Dalian N.,39.015978,121.601377,station,cr
55376,抚顺,Fushun,41.888034,123.912075,station,cr
55118,丹东,Dandong,40.122162,124.380192,station,cr
16295,济南,Jinan,36.670731,116.985072,station,cr
66812,济南西,Jinan W.,36.669206,116.887906,station,cr
17786,淄博,Zibo,36.788356,118.051558,station,cr
18383,南博山,South Boshan,36.357596,117.955066,station,cr
66815,泰安,Tai'an,36.172083,117.029348,station,cr
16352,泰山,Taishan,36.186857,117.103623,station,cr
18088,青岛北,Qingdao N.,36.168694,120.369524,station,cr
16400,兖州,Yanzhou,35.556214,116.835541,station,cr
18618,威海,Weihai,37.425663,122.138637,station,cr
18557,烟台,Yantai,37.547492,121.377421,station,cr
18657,莱西,Laixi,36.823534,120.524985,station,cr
30671,上海,Shanghai,31.251539,121.451190,station,cr
32270,上海南,Shanghai S.,31.153863,121.426983,station,cr
66100,上海虹桥,Shanghai Hongqiao,31.196704,121.314801,station,cr
30662,上海西,Shanghai W.,31.264135,121.398156,station,cr
32022,上海松江,Shanghai Songjiang,30.985034,121.225310,station,cr
