code,name,name_en,lon,lat,country
,米原,,,,jr
,近江盐津,,,,jr
,草津,,,,jr
,柘植,,,,jr
,木津,,,,jr
,京桥,,,,jr
,阪神尼崎,,,,hs
,纪之川,,,,nk
,泉佐野,,,,nk
,陆渡所,,121.210862,31.474591,cr
,宣城,,118.774244,30.947311,cr
,绩溪北,,118.571612,30.071143,cr
,三星堆,,104.210491,30.941362,cr
,康山所,,120.049169,30.816651,cr
,妙西镇所,,120.022017,30.795224,cr
,桐庐东,,119.765133,29.855121,cr
,永嘉所,,120.722711,28.068968,cr
,桐庐,,119.734427,29.787993,cr
,胜芳,,116.759439,39.138761,cr
,固安东,,116.404179,39.372211,cr
,南通西,,120.76514,32.101138,cr
,高辛庄所,,116.731486,39.926398,cr
,北刘各庄所,,116.767231,39.934977,cr
,青白江东,,104.225614,30.894455,cr
,龙形村所,,109.965988,27.492552,cr
,沙堤所,,110.444766,29.194213,cr
,张家界西,,110.502642,29.113665,cr
,黄金园所,,112.786971,28.274617,cr
,怀化南,,109.993647,27.512175,cr
,凤凰西所,,109.370371,18.307559,cr
,崖州湾,,109.1849,18.35331,cr
,龙里,,106.972792,26.448086,cr
,秦祺村所,,106.775105,26.512573,cr
,广州莲花山,,113.492261,23.002104,cr
,长沙西,,112.825935,28.261965,cr
,长辛店,,116.20695,39.828553,cr
,柳辛庄,,114.509891,38.100553,cr
,汉西,,114.2277,30.591162,cr
,武昌南,,114.302333,30.471434,cr
,黄土坡所,,116.285959,39.769835,cr
,汉沟镇,,117.109276,39.299542,cr
,桥南所,,116.832633,36.704458,cr
,党家庄,,116.903386,36.578673,cr
,徐州,,117.207965,34.264868,cr
,林场,,118.680364,32.16032,cr
,黄渡,,121.240514,31.294163,cr
,北园,,117.003666,36.690667,cr
,商丘,,115.658058,34.44619,cr
,圃田西,,113.700392,34.733885,cr
,兰州,,103.850378,36.035373,cr
,商丘南,,115.704619,34.408093,cr
,阜阳北,,115.867663,33.017195,cr
,阜阳,,115.866987,32.914545,cr
,九江,,116.006932,29.703944,cr
,九江西,,115.893519,29.64175,cr
,乐化,,115.870787,28.814118,cr
,向塘,,115.961067,28.442902,cr
,三江镇,,115.981468,28.308501,cr
,北京东,,116.484487,39.9028,cr
,唐山北,,118.118306,39.818068,cr
,龙家营,,119.681324,39.963889,cr
,封浜,,121.288772,31.256447,cr
,七宝,,121.328145,31.158745,cr
,李家塘,,121.360708,31.111485,cr
,春申,,121.354364,31.079128,cr
,笕桥,,120.216875,30.328639,cr
,梁家渡,,116.002936,28.401346,cr
,东门,,126.722375,45.744071,cr
,榆树屯,,123.894334,47.155401,cr
,昌平,,116.193496,40.189913,cr
,雁栖湖,,116.659991,40.374184,cr
,隆化,,117.750747,41.328332,cr
,青龙桥南所,,116.022548,40.346838,cr
,青龙桥西,,116.01641,40.345009,cr
,青龙桥北所,,116.016305,40.352322,cr
,青龙桥,,116.025513,40.351328,cr
,台阁牧,,111.481146,40.746825,cr
,包头西,,109.751382,40.610573,cr
,何刘,,114.495502,30.528556,cr
,柳州,,109.388292,24.307874,cr
,黎塘,,109.133171,23.195194,cr
,燕岗,,103.523809,29.552374,cr
,广通北,,101.765198,25.16444,cr
,太原南,,112.609959,37.791069,cr
,定边,,107.57638,37.561603,cr
,富裕,,124.46045,47.796753,cr
,红旗营,,123.913354,47.116305,cr
,牙克石,,120.737669,49.279474,cr
,加格达奇,,124.126785,50.420347,cr
,伊图里河,,121.552109,50.628471,cr
,新香坊,,126.767891,45.711751,cr
,梅河口,,125.685855,42.535835,cr
,石景山南,,116.214393,39.874761,cr
,怀柔,,116.648854,40.31715,cr
,赵家店所,,117.775154,40.631928,cr
,李家营,,117.7554,40.584397,cr
,西陌堂所,,121.344243,37.414557,cr
,淮南,,117.020014,32.631244,cr
,莘庄,,121.384483,31.108958,cr
,春申南所,,121.355498,31.078562,cr
,春申所,,121.356903,31.079242,cr
,笕桥所,,120.248826,30.352488,cr
,前场,,117.97785,24.569832,cr
,温州北,,120.628604,28.053638,cr
,西宁,,101.813308,36.620382,cr
,敦化,,128.24179,43.3808,cr
,敦化南,,128.338939,43.319561,cr
,姚家窝堡所,,122.665997,42.026522,cr
,田家窝堡所,,122.689258,42.054178,cr
,崔家营子所,,125.256386,43.936712,cr
,杨家粉坊所,,125.272205,43.918604,cr
,石家庄北,,114.465122,38.065566,cr
,走马岭所,,114.019443,30.632449,cr
,高桥所,,114.060987,30.615424,cr
,大明湖,,117.028891,36.68172,cr
,崔马庄所,,116.892456,36.55076,cr
,莱西东所,,120.548708,36.843052,cr
,南仓所,,117.174762,39.212254,cr
,德州东,,116.462332,37.409565,cr
,陵县所,,116.478331,37.357915,cr
,包头,,109.836919,40.605177,cr
,新墩,,114.196937,30.617155,cr
,安亭北所,,121.236831,31.296867,cr
,黄渡所,,121.235713,31.298039,cr
,南翔北所,,121.269431,31.28976,cr
,上饶,,118.006405,28.490279,cr
,京福所,,118.048927,28.491453,cr
,双龙南,,106.788697,26.481772,cr
,横店东,,114.337023,30.792899,cr
,仙林,,118.912727,32.122917,cr
,塘雅所,,119.792087,29.155812,cr
,胶州北,,120.055341,36.396534,cr
,徐州东所,,117.295696,34.312288,cr
,丹徒,,119.520803,32.115325,cr
,荣成,,122.408769,37.144833,cr
,白云北,,106.662548,26.702942,cr
,尖坡所,,106.693852,26.683098,cr
,巢湖东,,117.925139,31.61786,cr
,南阳寨,,113.616978,34.814723,cr
,番禺,,113.27297,22.987108,cr
,八达岭西所,,115.966756,40.38369,cr
,济南东,,117.159918,36.747892,cr
,董集,,119.236311,34.430439,cr
,新沟北所,,113.934649,30.711456,cr
,革新所,,113.972793,30.690873,cr
,胡庄所,,117.953311,31.587285,cr
,横山所,,119.52485,32.14622,cr
,杭甬杭州南所,,120.325005,30.137864,cr
